ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 72020333, 0, 84640, 203075840, 36, 360, 2408
rtr_0x0, send_packet_count, port0, Accumulator, 72020333, 0, 36, 36, 36, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 72020333, 0, 71129889, 139270364999405, 37, 547733, 2603473
rtr_0x0, width_adj_count, port0, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 72020333, 0, 360, 129600, 1, 360, 360
rtr_0x0, send_packet_count, port2, Accumulator, 72020333, 0, 1, 1, 1, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 72020333, 0, 72016334, 4986329058064490, 2, 1416601, 70599733
rtr_0x0, width_adj_count, port2, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 72020333, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port4, Accumulator, 72020333, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 72020333, 0, 71125890, 138419098853806, 38, 414673, 2659801
rtr_0x0, width_adj_count, port4, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 72020333, 0, 7333, 1453327, 37, 198, 199
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 72020333, 0, 85000, 203205440, 37, 360, 2408
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 72020333, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 72020333, 0, 40316167, 46238005859019, 37, 126001, 1162540
rtr_1x0, send_bit_count, port1, Accumulator, 72020333, 0, 84640, 203075840, 36, 360, 2408
rtr_1x0, send_packet_count, port1, Accumulator, 72020333, 0, 36, 36, 36, 1, 1
rtr_1x0, output_port_stalls, port1, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port1, Accumulator, 72020333, 0, 71129889, 139876036186605, 37, 414673, 2746201
rtr_1x0, width_adj_count, port1, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port2, Accumulator, 72020333, 0, 360, 129600, 1, 360, 360
rtr_1x0, send_packet_count, port2, Accumulator, 72020333, 0, 1, 1, 1, 1, 1
rtr_1x0, output_port_stalls, port2, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port2, Accumulator, 72020333, 0, 72016334, 5098188817533290, 2, 617401, 71398933
rtr_1x0, width_adj_count, port2, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port4, Accumulator, 72020333, 0, 85000, 203205440, 37, 360, 2408
rtr_1x0, send_packet_count, port4, Accumulator, 72020333, 0, 37, 37, 37, 1, 1
rtr_1x0, output_port_stalls, port4, Accumulator, 72020333, 0, 0, 0, 0, 0, 0
