ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 71960333, 0, 360, 129600, 1, 360, 360
rtr_0x0, send_packet_count, port0, Accumulator, 71960333, 0, 1, 1, 1, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 71960333, 0, 71956334, 4959867385598890, 2, 1547001, 70409333
rtr_0x0, width_adj_count, port0, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 71960333, 0, 84640, 203075840, 36, 360, 2408
rtr_0x0, send_packet_count, port2, Accumulator, 71960333, 0, 36, 36, 36, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 71960333, 0, 71069889, 139140601781805, 37, 547733, 2583473
rtr_0x0, width_adj_count, port2, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 71960333, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port4, Accumulator, 71960333, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 71960333, 0, 71065890, 140253532513006, 38, 56001, 2760601
rtr_0x0, width_adj_count, port4, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 71960333, 0, 7333, 1453327, 37, 198, 199
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 71960333, 0, 85000, 203205440, 37, 360, 2408
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 71960333, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 71960333, 0, 41245367, 47421893948619, 37, 126001, 1162540
rtr_1x0, send_bit_count, port1, Accumulator, 71960333, 0, 360, 129600, 1, 360, 360
rtr_1x0, send_packet_count, port1, Accumulator, 71960333, 0, 1, 1, 1, 1, 1
rtr_1x0, output_port_stalls, port1, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port1, Accumulator, 71960333, 0, 71956334, 4969472094750890, 2, 1477333, 70479001
rtr_1x0, width_adj_count, port1, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port2, Accumulator, 71960333, 0, 360, 129600, 1, 360, 360
rtr_1x0, send_packet_count, port2, Accumulator, 71960333, 0, 1, 1, 1, 1, 1
rtr_1x0, output_port_stalls, port2, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port2, Accumulator, 71960333, 0, 71956334, 5089624545573290, 2, 617401, 71338933
rtr_1x0, width_adj_count, port2, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port4, Accumulator, 71960333, 0, 720, 259200, 2, 360, 360
rtr_1x0, send_packet_count, port4, Accumulator, 71960333, 0, 2, 2, 2, 1, 1
rtr_1x0, output_port_stalls, port4, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port4, Accumulator, 71960333, 0, 71952335, 4882619897418091, 3, 634133, 69857601
rtr_1x0, width_adj_count, port4, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port0, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port1, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port2, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port3, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port4, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 71960333, 0, 396, 78408, 2, 198, 198
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 71960333, 0, 720, 259200, 2, 360, 360
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 71960333, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 71960333, 0, 69815401, 4778915831899513, 2, 689133, 69126268
rtr_0x1, send_bit_count, port0, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, send_packet_count, port0, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, output_port_stalls, port0, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, idle_time, port0, Accumulator, 71960333, 0, 71960333, 5178289525470889, 1, 71960333, 71960333
rtr_0x1, width_adj_count, port0, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, send_bit_count, port3, Accumulator, 71960333, 0, 84640, 203075840, 36, 360, 2408
rtr_0x1, send_packet_count, port3, Accumulator, 71960333, 0, 36, 36, 36, 1, 1
rtr_0x1, output_port_stalls, port3, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, idle_time, port3, Accumulator, 71960333, 0, 71069889, 140653025071405, 37, 164273, 2847001
rtr_0x1, width_adj_count, port3, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, send_bit_count, port4, Accumulator, 71960333, 0, 84640, 203075840, 36, 360, 2408
rtr_0x1, send_packet_count, port4, Accumulator, 71960333, 0, 36, 36, 36, 1, 1
rtr_0x1, output_port_stalls, port4, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, idle_time, port4, Accumulator, 71960333, 0, 71069889, 139005253071405, 37, 634133, 2583473
rtr_0x1, width_adj_count, port4, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port0, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port1, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port2, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port3, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port4, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, packet_latency, , Accumulator, 71960333, 0, 7134, 1413728, 36, 197, 199
nic2:rtrLink:networkIF, send_bit_count, , Accumulator, 71960333, 0, 84640, 203075840, 36, 360, 2408
nic2:rtrLink:networkIF, output_port_stalls, , Accumulator, 71960333, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, idle_time, , Accumulator, 71960333, 0, 42093234, 49304999718042, 37, 164673, 1623468
rtr_1x1, send_bit_count, port1, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x1, send_packet_count, port1, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
rtr_1x1, output_port_stalls, port1, Accumulator, 71960333, 0, 0, 0, 0, 0, 0
