ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 159029933, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port0, Accumulator, 159029933, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 159029933, 0, 158135490, 710481164930606, 38, 125601, 8545873
rtr_0x0, width_adj_count, port0, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 159029933, 0, 720, 259200, 2, 360, 360
rtr_0x0, send_packet_count, port2, Accumulator, 159029933, 0, 2, 2, 2, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 159029933, 0, 159021935, 24071321148651691, 3, 1530401, 155123733
rtr_0x0, width_adj_count, port2, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 159029933, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port4, Accumulator, 159029933, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 159029933, 0, 158135490, 676133692629806, 38, 1448001, 7079801
rtr_0x0, width_adj_count, port4, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 159029933, 0, 46732, 61233694, 37, 199, 1322
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 159029933, 0, 85000, 203205440, 37, 360, 2408
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 159029933, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 159029933, 0, 118477767, 399193360203019, 37, 126001, 3408940
rtr_1x0, send_bit_count, port0, Accumulator, 159029933, 0, 85360, 203335040, 38, 360, 2408
rtr_1x0, send_packet_count, port0, Accumulator, 159029933, 0, 38, 38, 38, 1, 1
rtr_1x0, output_port_stalls, port0, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port0, Accumulator, 159029933, 0, 158131491, 702828718074607, 39, 125601, 8675473
rtr_1x0, width_adj_count, port0, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port1, Accumulator, 159029933, 0, 1440, 518400, 4, 360, 360
rtr_1x0, send_packet_count, port1, Accumulator, 159029933, 0, 4, 4, 4, 1, 1
rtr_1x0, output_port_stalls, port1, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port1, Accumulator, 159029933, 0, 159013937, 21173060922306093, 5, 1530401, 145298401
rtr_1x0, width_adj_count, port1, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port2, Accumulator, 159029933, 0, 360, 129600, 1, 360, 360
rtr_1x0, send_packet_count, port2, Accumulator, 159029933, 0, 1, 1, 1, 1, 1
rtr_1x0, output_port_stalls, port2, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port2, Accumulator, 159029933, 0, 159025934, 24105956909805290, 2, 3811801, 155214133
rtr_1x0, width_adj_count, port2, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port4, Accumulator, 159029933, 0, 1080, 388800, 3, 360, 360
rtr_1x0, send_packet_count, port4, Accumulator, 159029933, 0, 3, 3, 3, 1, 1
rtr_1x0, output_port_stalls, port4, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port4, Accumulator, 159029933, 0, 159017936, 21249073723248492, 4, 1855201, 145525601
rtr_1x0, width_adj_count, port4, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port0, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port1, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port2, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port3, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port4, Accumulator, 159029933, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 159029933, 0, 854, 258070, 3, 198, 371
