ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 71513133, 0, 1080, 388800, 3, 360, 360
rtr_0x0, send_packet_count, port0, Accumulator, 71513133, 0, 3, 3, 3, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 71513133, 0, 71501136, 4204837645002092, 4, 125601, 64551733
rtr_0x0, width_adj_count, port0, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 71513133, 0, 1080, 388800, 3, 360, 360
rtr_0x0, send_packet_count, port2, Accumulator, 71513133, 0, 3, 3, 3, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 71513133, 0, 71501136, 4577122268982892, 4, 172801, 67598933
rtr_0x0, width_adj_count, port2, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 71513133, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port4, Accumulator, 71513133, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 71513133, 0, 70618690, 172039049845806, 38, 664273, 7951001
rtr_0x0, width_adj_count, port4, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port5, Accumulator, 71513133, 0, 85360, 203335040, 38, 360, 2408
rtr_0x0, send_packet_count, port5, Accumulator, 71513133, 0, 38, 38, 38, 1, 1
rtr_0x0, output_port_stalls, port5, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port5, Accumulator, 71513133, 0, 70614691, 162643957978607, 39, 142401, 7087801
rtr_0x0, width_adj_count, port5, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port5, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 71513133, 0, 4222, 488832, 37, 111, 197
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 71513133, 0, 85000, 203205440, 37, 360, 2408
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 71513133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 71513133, 0, 35191367, 34378435127819, 38, 20140, 989740
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 71513133, 0, 4507, 570229, 38, 111, 285
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 71513133, 0, 85360, 203335040, 38, 360, 2408
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 71513133, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 71513133, 0, 36015235, 35069048982843, 38, 126001, 989740
rtr_1x0, send_bit_count, port0, Accumulator, 71513133, 0, 1800, 648000, 5, 360, 360
rtr_1x0, send_packet_count, port0, Accumulator, 71513133, 0, 5, 5, 5, 1, 1
rtr_1x0, output_port_stalls, port0, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port0, Accumulator, 71513133, 0, 71493138, 4314954817154096, 5, 122402, 65480533
rtr_1x0, width_adj_count, port0, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port1, Accumulator, 71513133, 0, 2160, 777600, 6, 360, 360
rtr_1x0, send_packet_count, port1, Accumulator, 71513133, 0, 6, 6, 6, 1, 1
rtr_1x0, output_port_stalls, port1, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port1, Accumulator, 71513133, 0, 71489139, 3636980201240495, 7, 142401, 59888001
rtr_1x0, width_adj_count, port1, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port2, Accumulator, 71513133, 0, 720, 259200, 2, 360, 360
rtr_1x0, send_packet_count, port2, Accumulator, 71513133, 0, 2, 2, 2, 1, 1
rtr_1x0, output_port_stalls, port2, Accumulator, 71513133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port2, Accumulator, 71513133, 0, 71505135, 4594938683160491, 3, 129601, 67685333
