ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 192857133, 0, 1080, 388800, 3, 360, 360
rtr_0x0, send_packet_count, port0, Accumulator, 192857133, 0, 3, 3, 3, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 192857133, 0, 192845136, 30521306930269292, 4, 125601, 173744533
rtr_0x0, width_adj_count, port0, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 192857133, 0, 85360, 203335040, 38, 360, 2408
rtr_0x0, send_packet_count, port2, Accumulator, 192857133, 0, 38, 38, 38, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 192857133, 0, 191958691, 1393373995277807, 39, 172801, 24558673
rtr_0x0, width_adj_count, port2, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 192857133, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port4, Accumulator, 192857133, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 192857133, 0, 191962690, 1287689813685806, 38, 1146673, 20081401
rtr_0x0, width_adj_count, port4, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port5, Accumulator, 192857133, 0, 1080, 388800, 3, 360, 360
rtr_0x0, send_packet_count, port5, Accumulator, 192857133, 0, 3, 3, 3, 1, 1
rtr_0x0, output_port_stalls, port5, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port5, Accumulator, 192857133, 0, 192845136, 24481996716944492, 4, 1682401, 154263201
rtr_0x0, width_adj_count, port5, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port5, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 192857133, 0, 52607, 78193931, 37, 112, 1495
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 192857133, 0, 85000, 203205440, 37, 360, 2408
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 192857133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 192857133, 0, 128626567, 479663445156619, 37, 126001, 3754540
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 192857133, 0, 594, 132750, 3, 111, 285
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 192857133, 0, 1080, 388800, 3, 360, 360
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 192857133, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 192857133, 0, 18793402, 314788861559514, 3, 126001, 17716333
rtr_1x0, send_bit_count, port0, Accumulator, 192857133, 0, 1800, 648000, 5, 360, 360
rtr_1x0, send_packet_count, port0, Accumulator, 192857133, 0, 5, 5, 5, 1, 1
rtr_1x0, output_port_stalls, port0, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port0, Accumulator, 192857133, 0, 192837138, 30811949699430896, 5, 121602, 174674133
rtr_1x0, width_adj_count, port0, Accumulator, 192857133, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port1, Accumulator, 192857133, 0, 2160, 777600, 6, 360, 360
rtr_1x0, send_packet_count, port1, Accumulator, 192857133, 0, 6, 6, 6, 1, 1
