ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
cpu,pendCycle,,Accumulator,66839000,0,519050,2732314,133678,0,16
cpu,reads,,Accumulator,66839000,0,30014,30014,30014,1,1
cpu,writes,,Accumulator,66839000,0,19986,19986,19986,1,1
l1cache,stateEvent_GetS_I,,Accumulator,66839000,0,10,10,10,1,1
l1cache,stateEvent_GetS_S,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_GetS_M,,Accumulator,66839000,0,29993,29993,29993,1,1
l1cache,stateEvent_GetX_I,,Accumulator,66839000,0,6,6,6,1,1
l1cache,stateEvent_GetX_S,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_GetX_M,,Accumulator,66839000,0,19970,19970,19970,1,1
l1cache,stateEvent_GetSX_I,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_GetSX_S,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_GetSX_M,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_GetSResp_IS,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_GetXResp_IS,,Accumulator,66839000,0,10,10,10,1,1
l1cache,stateEvent_GetXResp_IM,,Accumulator,66839000,0,6,6,6,1,1
l1cache,stateEvent_GetXResp_SM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Inv_I,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Inv_S,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Inv_IS,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Inv_IM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Inv_SM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Inv_SB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Inv_IB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInvX_I,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInvX_M,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInvX_IS,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInvX_IM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInvX_SB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInvX_IB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Fetch_I,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Fetch_S,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Fetch_IS,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Fetch_IM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Fetch_SM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Fetch_IB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_Fetch_SB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInv_I,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInv_S,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInv_M,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInv_IS,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInv_IM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInv_SM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInv_SB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInv_IB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_ForceInv_I,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_ForceInv_S,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_ForceInv_M,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_ForceInv_IS,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_ForceInv_IM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_ForceInv_SM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_ForceInv_SB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_ForceInv_IB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLine_I,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLine_S,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLine_M,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLineInv_I,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLineInv_S,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLineInv_M,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLineResp_I,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLineResp_IB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLineResp_SB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_GetS,,Accumulator,66839000,0,10,10,10,1,1
l1cache,eventSent_GetX,,Accumulator,66839000,0,6,6,6,1,1
l1cache,eventSent_GetSX,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_Write,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_PutM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_NACK,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_FlushLine,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_FlushLineInv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_FlushAll,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_FetchResp,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_FetchXResp,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_AckInv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_AckFlush,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_GetSResp,,Accumulator,66839000,0,30014,30014,30014,1,1
l1cache,eventSent_GetXResp,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_WriteResp,,Accumulator,66839000,0,19986,19986,19986,1,1
l1cache,eventSent_FlushLineResp,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_FlushAllResp,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_CustomReq,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_CustomResp,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_CustomAck,,Accumulator,66839000,0,0,0,0,0,0
l1cache,EventStalledForLockedCacheline,,Accumulator,66839000,0,0,0,0,0,0
l1cache,evict_I,,Accumulator,66839000,0,16,16,16,1,1
l1cache,evict_S,,Accumulator,66839000,0,0,0,0,0,0
l1cache,evict_M,,Accumulator,66839000,0,0,0,0,0,0
l1cache,evict_IS,,Accumulator,66839000,0,0,0,0,0,0
l1cache,evict_IM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,evict_SM,,Accumulator,66839000,0,0,0,0,0,0
l1cache,evict_SB,,Accumulator,66839000,0,0,0,0,0,0
l1cache,latency_GetS_hit,,Accumulator,66839000,0,189144,1560422,30004,6,230
l1cache,latency_GetS_miss,,Accumulator,66839000,0,2339,547101,10,233,235
l1cache,latency_GetX_hit,,Accumulator,66839000,0,126156,1067544,19980,6,231
l1cache,latency_GetX_miss,,Accumulator,66839000,0,1411,331833,6,233,237
l1cache,latency_GetX_upgrade,,Accumulator,66839000,0,0,0,0,0,0
l1cache,latency_GetSX_hit,,Accumulator,66839000,0,0,0,0,0,0
l1cache,latency_GetSX_miss,,Accumulator,66839000,0,0,0,0,0,0
l1cache,latency_GetSX_upgrade,,Accumulator,66839000,0,0,0,0,0,0
l1cache,latency_FlushLine,,Accumulator,66839000,0,0,0,0,0,0
l1cache,latency_FlushLine_fail,,Accumulator,66839000,0,0,0,0,0,0
l1cache,latency_FlushLineInv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,latency_FlushLineInv_fail,,Accumulator,66839000,0,0,0,0,0,0
l1cache,latency_FlushAll,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetSHit_Arrival,,Accumulator,66839000,0,29995,29995,29995,1,1
l1cache,GetXHit_Arrival,,Accumulator,66839000,0,19973,19973,19973,1,1
l1cache,GetSXHit_Arrival,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetSHit_Blocked,,Accumulator,66839000,0,9,9,9,1,1
l1cache,GetXHit_Blocked,,Accumulator,66839000,0,7,7,7,1,1
l1cache,GetSXHit_Blocked,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetSMiss_Arrival,,Accumulator,66839000,0,10,10,10,1,1
l1cache,GetXMiss_Arrival,,Accumulator,66839000,0,6,6,6,1,1
l1cache,GetSXMiss_Arrival,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetSMiss_Blocked,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetXMiss_Blocked,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetSXMiss_Blocked,,Accumulator,66839000,0,0,0,0,0,0
l1cache,CacheHits,,Accumulator,66839000,0,49984,49984,49984,1,1
l1cache,CacheMisses,,Accumulator,66839000,0,16,16,16,1,1
l1cache,stateEvent_AckPut_I,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_PutS,,Accumulator,66839000,0,0,0,0,0,0
l1cache,eventSent_PutE,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_GetS_E,,Accumulator,66839000,0,11,11,11,1,1
l1cache,stateEvent_GetX_E,,Accumulator,66839000,0,10,10,10,1,1
l1cache,stateEvent_GetSX_E,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLine_E,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FlushLineInv_E,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInv_E,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_ForceInv_E,,Accumulator,66839000,0,0,0,0,0,0
l1cache,stateEvent_FetchInvX_E,,Accumulator,66839000,0,0,0,0,0,0
l1cache,evict_E,,Accumulator,66839000,0,0,0,0,0,0
l1cache,TotalEventsReceived,,Accumulator,66839000,0,50016,50016,50016,1,1
l1cache,TotalEventsReplayed,,Accumulator,66839000,0,16,16,16,1,1
l1cache,GetS_uncache_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,Write_uncache_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetSX_uncache_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetSResp_uncache_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,WriteResp_uncache_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,CustomReq_uncache_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,CustomResp_uncache_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,CustomAck_uncache_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,NULLCMD_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetS_recv,,Accumulator,66839000,0,30014,30014,30014,1,1
l1cache,GetX_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetSX_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,Write_recv,,Accumulator,66839000,0,19986,19986,19986,1,1
l1cache,FlushLine_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,FlushLineInv_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,FlushAll_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetSResp_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,GetXResp_recv,,Accumulator,66839000,0,16,16,16,1,1
l1cache,FlushLineResp_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,FlushAllResp_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,Inv_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,ForceInv_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,Fetch_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,FetchInv_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,FetchInvX_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,ForwardFlush_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,UnblockFlush_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,NACK_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,AckPut_recv,,Accumulator,66839000,0,0,0,0,0,0
l1cache,MSHR_occupancy,,Accumulator,66839000,0,6638,93188,133678,0,16
l1cache,Bank_conflicts,,Accumulator,66839000,0,0,0,0,0,0
memory,requests_received_GetS,,Accumulator,66839000,0,10,10,10,1,1
memory,requests_received_GetSX,,Accumulator,66839000,0,0,0,0,0,0
memory,requests_received_GetX,,Accumulator,66839000,0,6,6,6,1,1
memory,requests_received_Write,,Accumulator,66839000,0,0,0,0,0,0
memory,requests_received_PutM,,Accumulator,66839000,0,0,0,0,0,0
memory,outstanding_requests,,Accumulator,66839000,0,1626,11894,66839,0,9
memory,latency_GetS,,Accumulator,66839000,0,1014,102822,10,101,102
memory,latency_GetSX,,Accumulator,66839000,0,0,0,0,0,0
memory,latency_GetX,,Accumulator,66839000,0,612,62428,6,101,103
memory,latency_Write,,Accumulator,66839000,0,0,0,0,0,0
memory,latency_PutM,,Accumulator,66839000,0,0,0,0,0,0
memory,cycles_with_issue,,Accumulator,66839000,0,16,16,16,1,1
memory,cycles_attempted_issue_but_rejected,,Accumulator,66839000,0,0,0,0,0,0
memory,total_cycles,,Accumulator,66839000,0,66839,4467451921,1,66839,66839
