ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 81294733, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port0, Accumulator, 81294733, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 81294733, 0, 80400290, 251190632500206, 38, 126401, 10691001
rtr_0x0, width_adj_count, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 81294733, 0, 720, 259200, 2, 360, 360
rtr_0x0, send_packet_count, port2, Accumulator, 81294733, 0, 2, 2, 2, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 81294733, 0, 81286735, 5553438067382891, 3, 2221601, 74338133
rtr_0x0, width_adj_count, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 81294733, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port4, Accumulator, 81294733, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 81294733, 0, 80400290, 267657553057006, 38, 664273, 11684601
rtr_0x0, width_adj_count, port4, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 81294733, 0, 7420, 1495348, 37, 198, 285
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 81294733, 0, 85000, 203205440, 37, 360, 2408
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 81294733, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 81294733, 0, 40616167, 46430845572619, 37, 126001, 1162540
rtr_1x0, send_bit_count, port0, Accumulator, 81294733, 0, 1080, 388800, 3, 360, 360
rtr_1x0, send_packet_count, port0, Accumulator, 81294733, 0, 3, 3, 3, 1, 1
rtr_1x0, output_port_stalls, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port0, Accumulator, 81294733, 0, 81282736, 5092348141326892, 4, 125601, 70686133
rtr_1x0, width_adj_count, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port1, Accumulator, 81294733, 0, 85720, 203464640, 39, 360, 2408
rtr_1x0, send_packet_count, port1, Accumulator, 81294733, 0, 39, 39, 39, 1, 1
rtr_1x0, output_port_stalls, port1, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port1, Accumulator, 81294733, 0, 80392292, 181312870071408, 40, 664273, 4813401
rtr_1x0, width_adj_count, port1, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port2, Accumulator, 81294733, 0, 360, 129600, 1, 360, 360
rtr_1x0, send_packet_count, port2, Accumulator, 81294733, 0, 1, 1, 1, 1, 1
rtr_1x0, output_port_stalls, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port2, Accumulator, 81294733, 0, 81290734, 5587236889752490, 2, 6858201, 74432533
rtr_1x0, width_adj_count, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port4, Accumulator, 81294733, 0, 85360, 203335040, 38, 360, 2408
rtr_1x0, send_packet_count, port4, Accumulator, 81294733, 0, 38, 38, 38, 1, 1
rtr_1x0, output_port_stalls, port4, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port4, Accumulator, 81294733, 0, 80396291, 249758622828207, 39, 447201, 10735001
rtr_1x0, width_adj_count, port4, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port1, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port3, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port4, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 81294733, 0, 7789, 1632023, 38, 198, 371
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 81294733, 0, 85360, 203335040, 38, 360, 2408
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 81294733, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 81294733, 0, 41266435, 46917595946043, 38, 126001, 1162540
rtr_2x0, send_bit_count, port0, Accumulator, 81294733, 0, 1440, 518400, 4, 360, 360
rtr_2x0, send_packet_count, port0, Accumulator, 81294733, 0, 4, 4, 4, 1, 1
rtr_2x0, output_port_stalls, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port0, Accumulator, 81294733, 0, 81278737, 5201298272232495, 4, 122402, 71485333
rtr_2x0, width_adj_count, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, send_bit_count, port1, Accumulator, 81294733, 0, 2160, 777600, 6, 360, 360
rtr_2x0, send_packet_count, port1, Accumulator, 81294733, 0, 6, 6, 6, 1, 1
rtr_2x0, output_port_stalls, port1, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port1, Accumulator, 81294733, 0, 81270739, 4145336470627695, 7, 176801, 63504001
rtr_2x0, width_adj_count, port1, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, send_bit_count, port2, Accumulator, 81294733, 0, 360, 129600, 1, 360, 360
rtr_2x0, send_packet_count, port2, Accumulator, 81294733, 0, 1, 1, 1, 1, 1
rtr_2x0, output_port_stalls, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port2, Accumulator, 81294733, 0, 81290734, 5593079044517290, 2, 6815001, 74475733
rtr_2x0, width_adj_count, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, send_bit_count, port4, Accumulator, 81294733, 0, 1080, 388800, 3, 360, 360
rtr_2x0, send_packet_count, port4, Accumulator, 81294733, 0, 3, 3, 3, 1, 1
rtr_2x0, output_port_stalls, port4, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port4, Accumulator, 81294733, 0, 81282736, 3945301483304492, 4, 18401, 61181601
rtr_2x0, width_adj_count, port4, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port1, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port3, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port4, Accumulator, 81294733, 0, 2, 2, 2, 1, 1
nic2:rtrLink:networkIF, packet_latency, , Accumulator, 81294733, 0, 1117, 430699, 3, 285, 457
nic2:rtrLink:networkIF, send_bit_count, , Accumulator, 81294733, 0, 1080, 388800, 3, 360, 360
nic2:rtrLink:networkIF, output_port_stalls, , Accumulator, 81294733, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, idle_time, , Accumulator, 81294733, 0, 69968202, 3719321032428314, 3, 126001, 60222668
rtr_3x0, send_bit_count, port0, Accumulator, 81294733, 0, 1800, 648000, 5, 360, 360
rtr_3x0, send_packet_count, port0, Accumulator, 81294733, 0, 5, 5, 5, 1, 1
rtr_3x0, output_port_stalls, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port0, Accumulator, 81294733, 0, 81274738, 5217943417568496, 5, 122402, 71701333
rtr_3x0, width_adj_count, port0, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_3x0, send_bit_count, port1, Accumulator, 81294733, 0, 2880, 1036800, 8, 360, 360
rtr_3x0, send_packet_count, port1, Accumulator, 81294733, 0, 8, 8, 8, 1, 1
rtr_3x0, output_port_stalls, port1, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port1, Accumulator, 81294733, 0, 81262741, 4280028835678899, 8, 18402, 64574401
rtr_3x0, width_adj_count, port1, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_3x0, send_bit_count, port2, Accumulator, 81294733, 0, 360, 129600, 1, 360, 360
rtr_3x0, send_packet_count, port2, Accumulator, 81294733, 0, 1, 1, 1, 1, 1
rtr_3x0, output_port_stalls, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port2, Accumulator, 81294733, 0, 81290734, 5586155828440490, 2, 6866201, 74424533
rtr_3x0, width_adj_count, port2, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
rtr_3x0, send_bit_count, port4, Accumulator, 81294733, 0, 1080, 388800, 3, 360, 360
rtr_3x0, send_packet_count, port4, Accumulator, 81294733, 0, 3, 3, 3, 1, 1
rtr_3x0, output_port_stalls, port4, Accumulator, 81294733, 0, 0, 0, 0, 0, 0
