ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 130757933, 0, 720, 259200, 2, 360, 360
rtr_0x0, send_packet_count, port0, Accumulator, 130757933, 0, 2, 2, 2, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 130757933, 0, 130749935, 14499016813886891, 3, 125601, 119936533
rtr_0x0, width_adj_count, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 130757933, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port2, Accumulator, 130757933, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 130757933, 0, 129863490, 587226480930606, 38, 547733, 14813073
rtr_0x0, width_adj_count, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 130757933, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port4, Accumulator, 130757933, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 130757933, 0, 129863490, 540320074332206, 38, 1565601, 11660601
rtr_0x0, width_adj_count, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 130757933, 0, 28588, 22688744, 37, 198, 803
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 130757933, 0, 85000, 203205440, 37, 360, 2408
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 130757933, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 130757933, 0, 82072167, 192218777566219, 37, 126001, 2372140
rtr_1x0, send_bit_count, port0, Accumulator, 130757933, 0, 1080, 388800, 3, 360, 360
rtr_1x0, send_packet_count, port0, Accumulator, 130757933, 0, 3, 3, 3, 1, 1
rtr_1x0, output_port_stalls, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port0, Accumulator, 130757933, 0, 130745936, 14532372982262892, 4, 125601, 120152533
rtr_1x0, width_adj_count, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port1, Accumulator, 130757933, 0, 1440, 518400, 4, 360, 360
rtr_1x0, send_packet_count, port1, Accumulator, 130757933, 0, 4, 4, 4, 1, 1
rtr_1x0, output_port_stalls, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port1, Accumulator, 130757933, 0, 130741937, 11885713522331693, 5, 2221601, 108259201
rtr_1x0, width_adj_count, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port2, Accumulator, 130757933, 0, 360, 129600, 1, 360, 360
rtr_1x0, send_packet_count, port2, Accumulator, 130757933, 0, 1, 1, 1, 1, 1
rtr_1x0, output_port_stalls, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port2, Accumulator, 130757933, 0, 130753934, 15397187576563690, 2, 6858201, 123895733
rtr_1x0, width_adj_count, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port4, Accumulator, 130757933, 0, 1080, 388800, 3, 360, 360
rtr_1x0, send_packet_count, port4, Accumulator, 130757933, 0, 3, 3, 3, 1, 1
rtr_1x0, output_port_stalls, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port4, Accumulator, 130757933, 0, 130745936, 11986687450384492, 4, 1855201, 108512801
rtr_1x0, width_adj_count, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port3, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 130757933, 0, 853, 257501, 3, 198, 371
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 130757933, 0, 1080, 388800, 3, 360, 360
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 130757933, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 130757933, 0, 10951802, 95406459469914, 3, 126001, 9701933
rtr_2x0, send_bit_count, port0, Accumulator, 130757933, 0, 1440, 518400, 4, 360, 360
rtr_2x0, send_packet_count, port0, Accumulator, 130757933, 0, 4, 4, 4, 1, 1
rtr_2x0, output_port_stalls, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port0, Accumulator, 130757933, 0, 130741937, 14720599401698095, 4, 121602, 120952533
rtr_2x0, width_adj_count, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, send_bit_count, port1, Accumulator, 130757933, 0, 2160, 777600, 6, 360, 360
rtr_2x0, send_packet_count, port1, Accumulator, 130757933, 0, 6, 6, 6, 1, 1
rtr_2x0, output_port_stalls, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port1, Accumulator, 130757933, 0, 130733939, 11689791047390895, 7, 172801, 107416001
rtr_2x0, width_adj_count, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, send_bit_count, port2, Accumulator, 130757933, 0, 360, 129600, 1, 360, 360
rtr_2x0, send_packet_count, port2, Accumulator, 130757933, 0, 1, 1, 1, 1, 1
rtr_2x0, output_port_stalls, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port2, Accumulator, 130757933, 0, 130753934, 15407303351808490, 2, 6815001, 123938933
rtr_2x0, width_adj_count, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, send_bit_count, port4, Accumulator, 130757933, 0, 1080, 388800, 3, 360, 360
rtr_2x0, send_packet_count, port4, Accumulator, 130757933, 0, 3, 3, 3, 1, 1
rtr_2x0, output_port_stalls, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port4, Accumulator, 130757933, 0, 130745936, 12445026001430892, 4, 18401, 110648001
rtr_2x0, width_adj_count, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port1, Accumulator, 130757933, 0, 3, 3, 3, 1, 1
rtr_2x0, xbar_stalls, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port3, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, packet_latency, , Accumulator, 130757933, 0, 1116, 430130, 3, 284, 457
nic2:rtrLink:networkIF, send_bit_count, , Accumulator, 130757933, 0, 1080, 388800, 3, 360, 360
nic2:rtrLink:networkIF, output_port_stalls, , Accumulator, 130757933, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, idle_time, , Accumulator, 130757933, 0, 119434602, 12124242930098714, 3, 126001, 109689068
rtr_3x0, send_bit_count, port0, Accumulator, 130757933, 0, 1800, 648000, 5, 360, 360
rtr_3x0, send_packet_count, port0, Accumulator, 130757933, 0, 5, 5, 5, 1, 1
rtr_3x0, output_port_stalls, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port0, Accumulator, 130757933, 0, 130737938, 14758606431514096, 5, 121602, 121168533
rtr_3x0, width_adj_count, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, send_bit_count, port1, Accumulator, 130757933, 0, 2880, 1036800, 8, 360, 360
rtr_3x0, send_packet_count, port1, Accumulator, 130757933, 0, 8, 8, 8, 1, 1
rtr_3x0, output_port_stalls, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port1, Accumulator, 130757933, 0, 130725941, 11918410526682099, 8, 18402, 108486401
rtr_3x0, width_adj_count, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, send_bit_count, port2, Accumulator, 130757933, 0, 360, 129600, 1, 360, 360
rtr_3x0, send_packet_count, port2, Accumulator, 130757933, 0, 1, 1, 1, 1, 1
rtr_3x0, output_port_stalls, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port2, Accumulator, 130757933, 0, 130753934, 15398123908819690, 2, 6854201, 123899733
rtr_3x0, width_adj_count, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, send_bit_count, port4, Accumulator, 130757933, 0, 1080, 388800, 3, 360, 360
rtr_3x0, send_packet_count, port4, Accumulator, 130757933, 0, 3, 3, 3, 1, 1
rtr_3x0, output_port_stalls, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port4, Accumulator, 130757933, 0, 130745936, 12084929319510892, 4, 3887201, 109139201
rtr_3x0, width_adj_count, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, xbar_stalls, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, xbar_stalls, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, xbar_stalls, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, xbar_stalls, port3, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_3x0, xbar_stalls, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
nic3:rtrLink:networkIF, packet_latency, , Accumulator, 130757933, 0, 1285, 585441, 3, 284, 544
nic3:rtrLink:networkIF, send_bit_count, , Accumulator, 130757933, 0, 1080, 388800, 3, 360, 360
nic3:rtrLink:networkIF, output_port_stalls, , Accumulator, 130757933, 0, 0, 0, 0, 0, 0
nic3:rtrLink:networkIF, idle_time, , Accumulator, 130757933, 0, 11341402, 74931451263514, 3, 126001, 8059533
rtr_4x0, send_bit_count, port0, Accumulator, 130757933, 0, 2160, 777600, 6, 360, 360
rtr_4x0, send_packet_count, port0, Accumulator, 130757933, 0, 6, 6, 6, 1, 1
rtr_4x0, output_port_stalls, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, idle_time, port0, Accumulator, 130757933, 0, 130733939, 14775770414963697, 6, 125601, 121254933
rtr_4x0, width_adj_count, port0, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, send_bit_count, port1, Accumulator, 130757933, 0, 3600, 1296000, 10, 360, 360
rtr_4x0, send_packet_count, port1, Accumulator, 130757933, 0, 10, 10, 10, 1, 1
rtr_4x0, output_port_stalls, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, idle_time, port1, Accumulator, 130757933, 0, 130717943, 11722019886762101, 10, 18402, 107643201
rtr_4x0, width_adj_count, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, send_bit_count, port2, Accumulator, 130757933, 0, 360, 129600, 1, 360, 360
rtr_4x0, send_packet_count, port2, Accumulator, 130757933, 0, 1, 1, 1, 1, 1
rtr_4x0, output_port_stalls, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, idle_time, port2, Accumulator, 130757933, 0, 130753934, 15408240375264490, 2, 6811001, 123942933
rtr_4x0, width_adj_count, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, send_bit_count, port4, Accumulator, 130757933, 0, 1080, 388800, 3, 360, 360
rtr_4x0, send_packet_count, port4, Accumulator, 130757933, 0, 3, 3, 3, 1, 1
rtr_4x0, output_port_stalls, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, idle_time, port4, Accumulator, 130757933, 0, 130745936, 12925319380470892, 4, 107201, 112999201
rtr_4x0, width_adj_count, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, xbar_stalls, port0, Accumulator, 130757933, 0, 3, 3, 3, 1, 1
rtr_4x0, xbar_stalls, port1, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, xbar_stalls, port2, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, xbar_stalls, port3, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
rtr_4x0, xbar_stalls, port4, Accumulator, 130757933, 0, 0, 0, 0, 0, 0
