ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 464857133, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port0, Accumulator, 464857133, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 464857133, 0, 463962690, 6050189813244206, 38, 125601, 20213073
rtr_0x0, width_adj_count, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 464857133, 0, 720, 259200, 2, 360, 360
rtr_0x0, send_packet_count, port2, Accumulator, 464857133, 0, 2, 2, 2, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 464857133, 0, 464849135, 204899447146981291, 3, 3604001, 452560533
rtr_0x0, width_adj_count, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 464857133, 0, 85000, 203205440, 37, 360, 2408
rtr_0x0, send_packet_count, port4, Accumulator, 464857133, 0, 37, 37, 37, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 464857133, 0, 463962690, 5807939350095406, 38, 5938673, 19230201
rtr_0x0, width_adj_count, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 464857133, 0, 191898, 1046969064, 37, 198, 5469
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 464857133, 0, 85000, 203205440, 37, 360, 2408
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 464857133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 464857133, 0, 403677767, 4683659146033419, 37, 126001, 11703340
rtr_1x0, send_bit_count, port0, Accumulator, 464857133, 0, 85360, 203335040, 38, 360, 2408
rtr_1x0, send_packet_count, port0, Accumulator, 464857133, 0, 38, 38, 38, 1, 1
rtr_1x0, output_port_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port0, Accumulator, 464857133, 0, 463958691, 6022971480948207, 39, 125601, 20342673
rtr_1x0, width_adj_count, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port1, Accumulator, 464857133, 0, 1440, 518400, 4, 360, 360
rtr_1x0, send_packet_count, port1, Accumulator, 464857133, 0, 4, 4, 4, 1, 1
rtr_1x0, output_port_stalls, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port1, Accumulator, 464857133, 0, 464841137, 183211555614907693, 5, 3604001, 427490401
rtr_1x0, width_adj_count, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port2, Accumulator, 464857133, 0, 360, 129600, 1, 360, 360
rtr_1x0, send_packet_count, port2, Accumulator, 464857133, 0, 1, 1, 1, 1, 1
rtr_1x0, output_port_stalls, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port2, Accumulator, 464857133, 0, 464853134, 205041760855014890, 2, 12202201, 452650933
rtr_1x0, width_adj_count, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port4, Accumulator, 464857133, 0, 1080, 388800, 3, 360, 360
rtr_1x0, send_packet_count, port4, Accumulator, 464857133, 0, 3, 3, 3, 1, 1
rtr_1x0, output_port_stalls, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port4, Accumulator, 464857133, 0, 464845136, 183766012910570092, 4, 1855201, 427957601
rtr_1x0, width_adj_count, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port3, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 464857133, 0, 854, 258070, 3, 198, 371
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 464857133, 0, 1080, 388800, 3, 360, 360
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 464857133, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 464857133, 0, 18036602, 283073360346714, 3, 126001, 16786733
rtr_2x0, send_bit_count, port0, Accumulator, 464857133, 0, 85720, 203464640, 39, 360, 2408
rtr_2x0, send_packet_count, port0, Accumulator, 464857133, 0, 39, 39, 39, 1, 1
rtr_2x0, output_port_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port0, Accumulator, 464857133, 0, 463954692, 6044703111391410, 39, 121602, 21056273
rtr_2x0, width_adj_count, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, send_bit_count, port1, Accumulator, 464857133, 0, 2160, 777600, 6, 360, 360
rtr_2x0, send_packet_count, port1, Accumulator, 464857133, 0, 6, 6, 6, 1, 1
rtr_2x0, output_port_stalls, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port1, Accumulator, 464857133, 0, 464833139, 182457315668536495, 7, 172801, 426647201
rtr_2x0, width_adj_count, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, send_bit_count, port2, Accumulator, 464857133, 0, 360, 129600, 1, 360, 360
rtr_2x0, send_packet_count, port2, Accumulator, 464857133, 0, 1, 1, 1, 1, 1
rtr_2x0, output_port_stalls, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port2, Accumulator, 464857133, 0, 464853134, 205079819357939690, 2, 12159001, 452694133
rtr_2x0, width_adj_count, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, send_bit_count, port4, Accumulator, 464857133, 0, 1080, 388800, 3, 360, 360
rtr_2x0, send_packet_count, port4, Accumulator, 464857133, 0, 3, 3, 3, 1, 1
rtr_2x0, output_port_stalls, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, idle_time, port4, Accumulator, 464857133, 0, 464845136, 185311784965021292, 4, 274401, 429773601
rtr_2x0, width_adj_count, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port1, Accumulator, 464857133, 0, 3, 3, 3, 1, 1
rtr_2x0, xbar_stalls, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port3, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_2x0, xbar_stalls, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, packet_latency, , Accumulator, 464857133, 0, 1112, 427146, 3, 284, 457
nic2:rtrLink:networkIF, send_bit_count, , Accumulator, 464857133, 0, 1080, 388800, 3, 360, 360
nic2:rtrLink:networkIF, output_port_stalls, , Accumulator, 464857133, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, idle_time, , Accumulator, 464857133, 0, 445814202, 184254105476724314, 3, 126001, 428920668
rtr_3x0, send_bit_count, port0, Accumulator, 464857133, 0, 86080, 203594240, 40, 360, 2408
rtr_3x0, send_packet_count, port0, Accumulator, 464857133, 0, 40, 40, 40, 1, 1
rtr_3x0, output_port_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port0, Accumulator, 464857133, 0, 463950693, 6023907186135411, 40, 121602, 21185873
rtr_3x0, width_adj_count, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, send_bit_count, port1, Accumulator, 464857133, 0, 2880, 1036800, 8, 360, 360
rtr_3x0, send_packet_count, port1, Accumulator, 464857133, 0, 8, 8, 8, 1, 1
rtr_3x0, output_port_stalls, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port1, Accumulator, 464857133, 0, 464825141, 183277690969870897, 9, 63201, 427612001
rtr_3x0, width_adj_count, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, send_bit_count, port2, Accumulator, 464857133, 0, 360, 129600, 1, 360, 360
rtr_3x0, send_packet_count, port2, Accumulator, 464857133, 0, 1, 1, 1, 1, 1
rtr_3x0, output_port_stalls, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port2, Accumulator, 464857133, 0, 464853134, 205045284476870890, 2, 12198201, 452654933
rtr_3x0, width_adj_count, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, send_bit_count, port4, Accumulator, 464857133, 0, 1080, 388800, 3, 360, 360
rtr_3x0, send_packet_count, port4, Accumulator, 464857133, 0, 3, 3, 3, 1, 1
rtr_3x0, output_port_stalls, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, idle_time, port4, Accumulator, 464857133, 0, 464845136, 184565534926710892, 4, 3887201, 428994401
rtr_3x0, width_adj_count, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, xbar_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, xbar_stalls, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, xbar_stalls, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, xbar_stalls, port3, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_3x0, xbar_stalls, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
nic3:rtrLink:networkIF, packet_latency, , Accumulator, 464857133, 0, 1286, 585838, 3, 285, 543
nic3:rtrLink:networkIF, send_bit_count, , Accumulator, 464857133, 0, 1080, 388800, 3, 360, 360
nic3:rtrLink:networkIF, output_port_stalls, , Accumulator, 464857133, 0, 0, 0, 0, 0, 0
nic3:rtrLink:networkIF, idle_time, , Accumulator, 464857133, 0, 18015802, 227064160733914, 3, 126001, 14733933
rtr_4x0, send_bit_count, port0, Accumulator, 464857133, 0, 86440, 203723840, 41, 360, 2408
rtr_4x0, send_packet_count, port0, Accumulator, 464857133, 0, 41, 41, 41, 1, 1
rtr_4x0, output_port_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, idle_time, port0, Accumulator, 464857133, 0, 463946694, 6016942061105012, 41, 125601, 21185873
rtr_4x0, width_adj_count, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, send_bit_count, port1, Accumulator, 464857133, 0, 3600, 1296000, 10, 360, 360
rtr_4x0, send_packet_count, port1, Accumulator, 464857133, 0, 10, 10, 10, 1, 1
rtr_4x0, output_port_stalls, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, idle_time, port1, Accumulator, 464857133, 0, 464817143, 182514611752485299, 11, 43201, 426768801
rtr_4x0, width_adj_count, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, send_bit_count, port2, Accumulator, 464857133, 0, 360, 129600, 1, 360, 360
rtr_4x0, send_packet_count, port2, Accumulator, 464857133, 0, 1, 1, 1, 1, 1
rtr_4x0, output_port_stalls, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, idle_time, port2, Accumulator, 464857133, 0, 464853134, 205083343670995690, 2, 12155001, 452698133
rtr_4x0, width_adj_count, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, send_bit_count, port4, Accumulator, 464857133, 0, 1080, 388800, 3, 360, 360
rtr_4x0, send_packet_count, port4, Accumulator, 464857133, 0, 3, 3, 3, 1, 1
rtr_4x0, output_port_stalls, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, idle_time, port4, Accumulator, 464857133, 0, 464845136, 187274862778320492, 4, 620001, 432155201
rtr_4x0, width_adj_count, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, xbar_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, xbar_stalls, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, xbar_stalls, port2, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, xbar_stalls, port3, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_4x0, xbar_stalls, port4, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
nic4:rtrLink:networkIF, packet_latency, , Accumulator, 464857133, 0, 1549, 833461, 3, 375, 630
nic4:rtrLink:networkIF, send_bit_count, , Accumulator, 464857133, 0, 1080, 388800, 3, 360, 360
nic4:rtrLink:networkIF, output_port_stalls, , Accumulator, 464857133, 0, 0, 0, 0, 0, 0
nic4:rtrLink:networkIF, idle_time, , Accumulator, 464857133, 0, 446610202, 186353383386404314, 3, 126001, 431423868
rtr_5x0, send_bit_count, port0, Accumulator, 464857133, 0, 86800, 203853440, 42, 360, 2408
rtr_5x0, send_packet_count, port0, Accumulator, 464857133, 0, 42, 42, 42, 1, 1
rtr_5x0, output_port_stalls, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_5x0, idle_time, port0, Accumulator, 464857133, 0, 463942695, 6019821181199019, 40, 117603, 21315473
rtr_5x0, width_adj_count, port0, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_5x0, send_bit_count, port1, Accumulator, 464857133, 0, 4320, 1555200, 12, 360, 360
rtr_5x0, send_packet_count, port1, Accumulator, 464857133, 0, 12, 12, 12, 1, 1
rtr_5x0, output_port_stalls, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_5x0, idle_time, port1, Accumulator, 464857133, 0, 464809145, 182510705287419701, 13, 43201, 426768801
rtr_5x0, width_adj_count, port1, Accumulator, 464857133, 0, 0, 0, 0, 0, 0
rtr_5x0, send_bit_count, port2, Accumulator, 464857133, 0, 360, 129600, 1, 360, 360
