ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_G0R0, send_bit_count, port0, Accumulator, 2966061133, 0, 450024, 849220928, 517, 360, 6504
rtr_G0R0, send_packet_count, port0, Accumulator, 2966061133, 0, 517, 517, 517, 1, 1
rtr_G0R0, output_port_stalls, port0, Accumulator, 2966061133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port0, Accumulator, 2966061133, 0, 2961119702, 37466044611228168, 517, 133602, 28515468
rtr_G0R0, width_adj_count, port0, Accumulator, 2966061133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port1, Accumulator, 2966061133, 0, 358088, 474133568, 641, 360, 6504
rtr_G0R0, send_packet_count, port1, Accumulator, 2966061133, 0, 641, 641, 641, 1, 1
rtr_G0R0, output_port_stalls, port1, Accumulator, 2966061133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port1, Accumulator, 2966061133, 0, 2961983486, 53502901588162250, 642, 86668, 162662673
rtr_G0R0, width_adj_count, port1, Accumulator, 2966061133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port2, Accumulator, 2966061133, 0, 262800, 394303360, 438, 360, 6504
rtr_G0R0, send_packet_count, port2, Accumulator, 2966061133, 0, 438, 438, 438, 1, 1
rtr_G0R0, output_port_stalls, port2, Accumulator, 2966061133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port2, Accumulator, 2966061133, 0, 2963084544, 47421709349219156, 439, 115217, 89504273
rtr_G0R0, width_adj_count, port2, Accumulator, 2966061133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port3, Accumulator, 2966061133, 0, 81088, 34126336, 200, 360, 808
rtr_G0R0, send_packet_count, port3, Accumulator, 2966061133, 0, 200, 200, 200, 1, 1
rtr_G0R0, output_port_stalls, port3, Accumulator, 2966061133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port3, Accumulator, 2966061133, 0, 2965104039, 90391621063009143, 201, 11202, 226357601
rtr_G0R0, width_adj_count, port3, Accumulator, 2966061133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port4, Accumulator, 2966061133, 0, 165952, 243706368, 232, 360, 2408
rtr_G0R0, send_packet_count, port4, Accumulator, 2966061133, 0, 232, 232, 232, 1, 1
