ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_G0R0, send_bit_count, port0, Accumulator, 1818365933, 0, 414528, 676194560, 508, 360, 2408
rtr_G0R0, send_packet_count, port0, Accumulator, 1818365933, 0, 508, 508, 508, 1, 1
rtr_G0R0, output_port_stalls, port0, Accumulator, 1818365933, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port0, Accumulator, 1818365933, 0, 1813796409, 10721760666860935, 509, 126935, 21759468
rtr_G0R0, width_adj_count, port0, Accumulator, 1818365933, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port1, Accumulator, 1818365933, 0, 323616, 467685888, 464, 360, 2408
rtr_G0R0, send_packet_count, port1, Accumulator, 1818365933, 0, 464, 464, 464, 1, 1
rtr_G0R0, output_port_stalls, port1, Accumulator, 1818365933, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port1, Accumulator, 1818365933, 0, 1814754836, 12283569538809180, 465, 36273, 71225873
rtr_G0R0, width_adj_count, port1, Accumulator, 1818365933, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port2, Accumulator, 1818365933, 0, 157648, 65512064, 394, 360, 1128
rtr_G0R0, send_packet_count, port2, Accumulator, 1818365933, 0, 394, 394, 394, 1, 1
rtr_G0R0, output_port_stalls, port2, Accumulator, 1818365933, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port2, Accumulator, 1818365933, 0, 1816499733, 54862696090476977, 395, 3735, 218633601
rtr_G0R0, width_adj_count, port2, Accumulator, 1818365933, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port3, Accumulator, 1818365933, 0, 75984, 29975680, 194, 360, 488
rtr_G0R0, send_packet_count, port3, Accumulator, 1818365933, 0, 194, 194, 194, 1, 1
rtr_G0R0, output_port_stalls, port3, Accumulator, 1818365933, 0, 0, 0, 0, 0, 0
