ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 5144305133, 0, 500088, 880799680, 543, 360, 2408
rtr_0x0, send_packet_count, port0, Accumulator, 5144305133, 0, 543, 543, 543, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 5144305133, 0, 5138833168, 136669247531940398, 544, 120269, 158317073
rtr_0x0, width_adj_count, port0, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 5144305133, 0, 404968, 1127849280, 485, 360, 12648
rtr_0x0, send_packet_count, port2, Accumulator, 5144305133, 0, 485, 485, 485, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 5144305133, 0, 5139838250, 259877478860697420, 486, 13602, 366693073
rtr_0x0, width_adj_count, port2, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 5144305133, 0, 740808, 1937975360, 625, 360, 12648
rtr_0x0, send_packet_count, port4, Accumulator, 5144305133, 0, 625, 625, 625, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 5144305133, 0, 5136308466, 91092474813746624, 624, 20050, 35909868
rtr_0x0, width_adj_count, port4, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 5144305133, 0, 404848, 582432218, 625, 197, 2704
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 5144305133, 0, 742088, 1939634240, 625, 360, 12648
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 5144305133, 0, 4632606406, 82293032789699702, 625, 62017, 31758536
rtr_1x0, send_bit_count, port0, Accumulator, 5144305133, 0, 415424, 512104192, 676, 360, 2408
rtr_1x0, send_packet_count, port0, Accumulator, 5144305133, 0, 676, 676, 676, 1, 1
rtr_1x0, output_port_stalls, port0, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port0, Accumulator, 5144305133, 0, 5139616972, 179412032744233912, 677, 28535, 244139473
rtr_1x0, width_adj_count, port0, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port1, Accumulator, 5144305133, 0, 483496, 534858560, 861, 360, 2408
rtr_1x0, send_packet_count, port1, Accumulator, 5144305133, 0, 861, 861, 861, 1, 1
rtr_1x0, output_port_stalls, port1, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port1, Accumulator, 5144305133, 0, 5138803842, 296861561823186480, 862, 13602, 474096801
rtr_1x0, width_adj_count, port1, Accumulator, 5144305133, 0, 0, 0, 0, 0, 0
