ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 5156321133, 0, 426800, 533673088, 682, 360, 2408
rtr_0x0, send_packet_count, port0, Accumulator, 5156321133, 0, 682, 682, 682, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 5156321133, 0, 5151513002, 121566571315182882, 682, 117603, 114771473
rtr_0x0, width_adj_count, port0, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 5156321133, 0, 627640, 3664475072, 677, 360, 16384
rtr_0x0, send_packet_count, port2, Accumulator, 5156321133, 0, 677, 677, 677, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 5156321133, 0, 5149424191, 185929617608019279, 666, 32002, 259414673
rtr_0x0, width_adj_count, port2, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 5156321133, 0, 647056, 2556799360, 561, 360, 16384
rtr_0x0, send_packet_count, port4, Accumulator, 5156321133, 0, 561, 561, 561, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 5156321133, 0, 5149317551, 103964018596609125, 559, 32803, 37605068
rtr_0x0, width_adj_count, port4, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port5, Accumulator, 5156321133, 0, 470840, 1978765760, 650, 360, 16384
rtr_0x0, send_packet_count, port5, Accumulator, 5156321133, 0, 650, 650, 650, 1, 1
rtr_0x0, output_port_stalls, port5, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port5, Accumulator, 5156321133, 0, 5151067780, 304318989548627678, 651, 89089, 474849873
rtr_0x0, width_adj_count, port5, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port5, Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 5156321133, 0, 279561, 455102727, 561, 111, 2704
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 5156321133, 0, 648336, 2558458240, 561, 360, 16384
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 5156321133, 0, 4695939802, 95053439885317532, 556, 62017, 33453736
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 5156321133, 0, 172771, 141964805, 650, 111, 2900
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 5156321133, 0, 471480, 1979595200, 650, 360, 16384
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 5156321133, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 5156321133, 0, 4576457925, 295888166904749349, 646, 18468, 474058540
