ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 1878122733, 0, 325912, 469429440, 467, 360, 2408
rtr_0x0, send_packet_count, port0, Accumulator, 1878122733, 0, 467, 467, 467, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 1878122733, 0, 1874483643, 34588901205648129, 468, 120269, 146545873
rtr_0x0, width_adj_count, port0, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 1878122733, 0, 331528, 474907200, 473, 360, 2408
rtr_0x0, send_packet_count, port2, Accumulator, 1878122733, 0, 473, 473, 473, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 1878122733, 0, 1874423658, 25628108802345768, 474, 122402, 105443473
rtr_0x0, width_adj_count, port2, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 1878122733, 0, 498808, 879140800, 543, 360, 2408
rtr_0x0, send_packet_count, port4, Accumulator, 1878122733, 0, 543, 543, 543, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 1878122733, 0, 1872666764, 10865119530552650, 544, 124268, 21737868
rtr_0x0, width_adj_count, port4, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 1878122733, 0, 146872, 46710054, 543, 198, 631
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 1878122733, 0, 500088, 880799680, 543, 360, 2408
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 1878122733, 0, 1423380679, 7832553668528383, 544, 5668, 17586536
rtr_1x0, send_bit_count, port0, Accumulator, 1878122733, 0, 243288, 267397312, 435, 360, 2408
rtr_1x0, send_packet_count, port0, Accumulator, 1878122733, 0, 435, 435, 435, 1, 1
rtr_1x0, output_port_stalls, port0, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port0, Accumulator, 1878122733, 0, 1875350093, 56847004967407089, 436, 125068, 213586401
rtr_1x0, width_adj_count, port0, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port1, Accumulator, 1878122733, 0, 393600, 326434560, 820, 360, 2408
rtr_1x0, send_packet_count, port1, Accumulator, 1878122733, 0, 820, 820, 820, 1, 1
rtr_1x0, output_port_stalls, port1, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port1, Accumulator, 1878122733, 0, 1873567872, 65442698725488326, 821, 124268, 246797873
rtr_1x0, width_adj_count, port1, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port2, Accumulator, 1878122733, 0, 83896, 37196992, 203, 360, 1128
rtr_1x0, send_packet_count, port2, Accumulator, 1878122733, 0, 203, 203, 203, 1, 1
rtr_1x0, output_port_stalls, port2, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port2, Accumulator, 1878122733, 0, 1877133647, 113244290519635833, 204, 122402, 316600801
rtr_1x0, width_adj_count, port2, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port4, Accumulator, 1878122733, 0, 322592, 301107200, 632, 360, 2408
rtr_1x0, send_packet_count, port4, Accumulator, 1878122733, 0, 632, 632, 632, 1, 1
rtr_1x0, output_port_stalls, port4, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port4, Accumulator, 1878122733, 0, 1874416993, 41630327815182135, 633, 81068, 175841601
rtr_1x0, width_adj_count, port4, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port0, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port1, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port2, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port3, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port4, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 1878122733, 0, 160603, 42207015, 632, 198, 551
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 1878122733, 0, 323232, 301936640, 632, 360, 2408
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 1878122733, 0, 1104396537, 8236889904360693, 633, 4135, 70220940
rtr_2x0, send_bit_count, port0, Accumulator, 1878122733, 0, 165008, 235678080, 238, 360, 2408
rtr_2x0, send_packet_count, port0, Accumulator, 1878122733, 0, 238, 238, 238, 1, 1
rtr_2x0, output_port_stalls, port0, Accumulator, 1878122733, 0, 0, 0, 0, 0, 0
