ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 3245037133, 0, 583864, 425309120, 1247, 360, 2408
rtr_0x0, send_packet_count, port0, Accumulator, 3245037133, 0, 1247, 1247, 1247, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 3245037133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 3245037133, 0, 3238268159, 51222805972841885, 1245, 10403, 167542673
rtr_0x0, width_adj_count, port0, Accumulator, 3245037133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port1, Accumulator, 3245037133, 0, 84280, 202946240, 35, 2408, 2408
rtr_0x0, send_packet_count, port1, Accumulator, 3245037133, 0, 35, 35, 35, 1, 1
rtr_0x0, output_port_stalls, port1, Accumulator, 3245037133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port1, Accumulator, 3245037133, 0, 3244150688, 9963548077636948204, 36, 2126673, 3156446933
rtr_0x0, width_adj_count, port1, Accumulator, 3245037133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 3245037133, 0, 539800, 1487318720, 683, 360, 6504
rtr_0x0, send_packet_count, port2, Accumulator, 3245037133, 0, 683, 683, 683, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 3245037133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 3245037133, 0, 3239051963, 67533215744318113, 676, 9602, 147088001
rtr_0x0, width_adj_count, port2, Accumulator, 3245037133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port3, Accumulator, 3245037133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port3, Accumulator, 3245037133, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port3, Accumulator, 3245037133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port3, Accumulator, 3245037133, 0, 3245037133, 10530265994548859689, 1, 3245037133, 3245037133
rtr_0x0, width_adj_count, port3, Accumulator, 3245037133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 3245037133, 0, 534304, 1052167168, 552, 360, 6504
rtr_0x0, send_packet_count, port4, Accumulator, 3245037133, 0, 552, 552, 552, 1, 1
