ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 990657133, 0, 247632, 437710208, 270, 360, 2408
rtr_0x0, send_packet_count, port0, Accumulator, 990657133, 0, 270, 270, 270, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 990657133, 0, 987947144, 8999140733654424, 271, 126401, 71225873
rtr_0x0, width_adj_count, port0, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port1, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port1, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port1, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port1, Accumulator, 990657133, 0, 990657133, 981401555163779689, 1, 990657133, 990657133
rtr_0x0, width_adj_count, port1, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 990657133, 0, 165008, 235678080, 238, 360, 2408
rtr_0x0, send_packet_count, port2, Accumulator, 990657133, 0, 238, 238, 238, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 990657133, 0, 988813594, 14631208717002184, 239, 125068, 78376273
rtr_0x0, width_adj_count, port2, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port3, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port3, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port3, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port3, Accumulator, 990657133, 0, 990657133, 981401555163779689, 1, 990657133, 990657133
rtr_0x0, width_adj_count, port3, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 990657133, 0, 408912, 670716800, 502, 360, 2408
rtr_0x0, send_packet_count, port4, Accumulator, 990657133, 0, 502, 502, 502, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 990657133, 0, 986147594, 2239718608689696, 503, 126401, 16329868
rtr_0x0, width_adj_count, port4, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 990657133, 0, 103054, 21439052, 502, 198, 285
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 990657133, 0, 410192, 672375680, 502, 360, 2408
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 990657133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 990657133, 0, 412433097, 621556090794917, 502, 120669, 12178536
rtr_1x0, send_bit_count, port0, Accumulator, 990657133, 0, 162712, 233934528, 235, 360, 2408
rtr_1x0, send_packet_count, port0, Accumulator, 990657133, 0, 235, 235, 235, 1, 1
rtr_1x0, output_port_stalls, port0, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port0, Accumulator, 990657133, 0, 988841587, 24642101964710435, 236, 427468, 145599473
rtr_1x0, width_adj_count, port0, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port1, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
rtr_1x0, send_packet_count, port1, Accumulator, 990657133, 0, 0, 0, 0, 0, 0
