ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_G0R0, send_bit_count, port0, Accumulator, 756694880431, 0, 154178640, 2473227262080, 12462, 104, 16384
rtr_G0R0, send_packet_count, port0, Accumulator, 756694880431, 0, 12462, 12462, 12462, 1, 1
rtr_G0R0, output_port_stalls, port0, Accumulator, 756694880431, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port0, Accumulator, 756694880431, 0, 755087927603, 8798218991214767811, 6535, 1435, 3563279726
rtr_G0R0, width_adj_count, port0, Accumulator, 756694880431, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port1, Accumulator, 756694880431, 0, 154201360, 2473236526720, 12518, 104, 16384
rtr_G0R0, send_packet_count, port1, Accumulator, 756694880431, 0, 12518, 12518, 12518, 1, 1
rtr_G0R0, output_port_stalls, port1, Accumulator, 756694880431, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port1, Accumulator, 756694880431, 0, 755087650339, 5460440062798664255, 7007, 1435, 3093559239
rtr_G0R0, width_adj_count, port1, Accumulator, 756694880431, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port2, Accumulator, 756694880431, 0, 154178640, 2473227262080, 12462, 104, 16384
rtr_G0R0, send_packet_count, port2, Accumulator, 756694880431, 0, 12462, 12462, 12462, 1, 1
rtr_G0R0, output_port_stalls, port2, Accumulator, 756694880431, 0, 65668, 4312286224, 1, 65668, 65668
rtr_G0R0, idle_time, port2, Accumulator, 756694880431, 0, 755087690032, 8036731483258926264, 3363, 687681, 3567749549
rtr_G0R0, width_adj_count, port2, Accumulator, 756694880431, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port3, Accumulator, 756694880431, 0, 22720, 9264640, 56, 360, 424
rtr_G0R0, send_packet_count, port3, Accumulator, 756694880431, 0, 56, 56, 56, 1, 1
rtr_G0R0, output_port_stalls, port3, Accumulator, 756694880431, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port3, Accumulator, 756694880431, 0, 756694603167, 15745184435136637753, 57, 5263371, 639494669540
rtr_G0R0, width_adj_count, port3, Accumulator, 756694880431, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port4, Accumulator, 756694880431, 0, 22720, 9264640, 56, 360, 424
rtr_G0R0, send_packet_count, port4, Accumulator, 756694880431, 0, 56, 56, 56, 1, 1
rtr_G0R0, output_port_stalls, port4, Accumulator, 756694880431, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port4, Accumulator, 756694880431, 0, 756694603167, 14304392632583428123, 57, 11138974, 639334256707
rtr_G0R0, width_adj_count, port4, Accumulator, 756694880431, 0, 0, 0, 0, 0, 0
