ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_G0R0, send_bit_count, port0, Accumulator, 756385799301, 0, 154178640, 2473227262080, 12462, 104, 16384
rtr_G0R0, send_packet_count, port0, Accumulator, 756385799301, 0, 12462, 12462, 12462, 1, 1
rtr_G0R0, output_port_stalls, port0, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port0, Accumulator, 756385799301, 0, 754778846473, 12647883881186224857, 4027, 1435, 4139393228
rtr_G0R0, width_adj_count, port0, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port1, Accumulator, 756385799301, 0, 154155920, 2473217997440, 12406, 104, 16384
rtr_G0R0, send_packet_count, port1, Accumulator, 756385799301, 0, 12406, 12406, 12406, 1, 1
rtr_G0R0, output_port_stalls, port1, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port1, Accumulator, 756385799301, 0, 754779123737, 11945856172724766803, 3307, 1248627, 4143155108
rtr_G0R0, width_adj_count, port1, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port2, Accumulator, 756385799301, 0, 22720, 9264640, 56, 360, 424
rtr_G0R0, send_packet_count, port2, Accumulator, 756385799301, 0, 56, 56, 56, 1, 1
rtr_G0R0, output_port_stalls, port2, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port2, Accumulator, 756385799301, 0, 756385522037, 1150121433208533495, 57, 5240693, 639281621736
rtr_G0R0, width_adj_count, port2, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port3, Accumulator, 756385799301, 0, 22720, 9264640, 56, 360, 424
rtr_G0R0, send_packet_count, port3, Accumulator, 756385799301, 0, 56, 56, 56, 1, 1
rtr_G0R0, output_port_stalls, port3, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port3, Accumulator, 756385799301, 0, 756385522037, 4463936840479873763, 57, 9085948, 638631821665
rtr_G0R0, width_adj_count, port3, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port4, Accumulator, 756385799301, 0, 22720, 9264640, 56, 360, 424
rtr_G0R0, send_packet_count, port4, Accumulator, 756385799301, 0, 56, 56, 56, 1, 1
rtr_G0R0, output_port_stalls, port4, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port4, Accumulator, 756385799301, 0, 756385522037, 13731610635116411761, 57, 9089950, 639277031442
rtr_G0R0, width_adj_count, port4, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port5, Accumulator, 756385799301, 0, 22720, 9264640, 56, 360, 424
rtr_G0R0, send_packet_count, port5, Accumulator, 756385799301, 0, 56, 56, 56, 1, 1
rtr_G0R0, output_port_stalls, port5, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port5, Accumulator, 756385799301, 0, 756385522037, 4933129987381046365, 57, 9032588, 638994809068
rtr_G0R0, width_adj_count, port5, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port6, Accumulator, 756385799301, 0, 22720, 9264640, 56, 360, 424
rtr_G0R0, send_packet_count, port6, Accumulator, 756385799301, 0, 56, 56, 56, 1, 1
rtr_G0R0, output_port_stalls, port6, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port6, Accumulator, 756385799301, 0, 756385522037, 5514254950569694299, 57, 8839825, 639169174874
rtr_G0R0, width_adj_count, port6, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port7, Accumulator, 756385799301, 0, 22720, 9264640, 56, 360, 424
rtr_G0R0, send_packet_count, port7, Accumulator, 756385799301, 0, 56, 56, 56, 1, 1
rtr_G0R0, output_port_stalls, port7, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port7, Accumulator, 756385799301, 0, 756385522037, 865846467978752933, 57, 10643393, 638890127420
rtr_G0R0, width_adj_count, port7, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port8, Accumulator, 756385799301, 0, 90880, 37058560, 224, 360, 424
rtr_G0R0, send_packet_count, port8, Accumulator, 756385799301, 0, 224, 224, 224, 1, 1
rtr_G0R0, output_port_stalls, port8, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port8, Accumulator, 756385799301, 0, 756384690245, 3449902100277543403, 169, 119401, 639283467992
rtr_G0R0, width_adj_count, port8, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port9, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_packet_count, port9, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, output_port_stalls, port9, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port9, Accumulator, 756385799301, 0, 756385799301, 12156682184618269977, 1, 756385799301, 756385799301
rtr_G0R0, width_adj_count, port9, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port0, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port1, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port2, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port3, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port4, Accumulator, 756385799301, 0, 153, 153, 153, 1, 1
rtr_G0R0, xbar_stalls, port5, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port6, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port7, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port8, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port9, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 756385799301, 0, 4182502, 2556482174, 12462, 158, 3297
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 756385799301, 0, 154178640, 2473227262080, 12462, 104, 16384
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 756385799301, 0, 434151439549, 11886669350492529129, 3362, 124668, 2461187280
rtr_G0R1, send_bit_count, port0, Accumulator, 756385799301, 0, 154201360, 2473236526720, 12518, 104, 16384
rtr_G0R1, send_packet_count, port0, Accumulator, 756385799301, 0, 12518, 12518, 12518, 1, 1
rtr_G0R1, output_port_stalls, port0, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port0, Accumulator, 756385799301, 0, 754778569209, 3215254691914405971, 7494, 170213, 2839186116
rtr_G0R1, width_adj_count, port0, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port1, Accumulator, 756385799301, 0, 154155920, 2473217997440, 12406, 104, 16384
rtr_G0R1, send_packet_count, port1, Accumulator, 756385799301, 0, 12406, 12406, 12406, 1, 1
rtr_G0R1, output_port_stalls, port1, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port1, Accumulator, 756385799301, 0, 754779123737, 12740038069325756321, 3971, 1435, 4140599831
rtr_G0R1, width_adj_count, port1, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port2, Accumulator, 756385799301, 0, 154133200, 2473208732800, 12350, 104, 16384
rtr_G0R1, send_packet_count, port2, Accumulator, 756385799301, 0, 12350, 12350, 12350, 1, 1
rtr_G0R1, output_port_stalls, port2, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port2, Accumulator, 756385799301, 0, 754779401001, 864111954756754125, 5123, 1462, 120695408849
rtr_G0R1, width_adj_count, port2, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port3, Accumulator, 756385799301, 0, 22720, 9264640, 56, 360, 424
rtr_G0R1, send_packet_count, port3, Accumulator, 756385799301, 0, 56, 56, 56, 1, 1
rtr_G0R1, output_port_stalls, port3, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port3, Accumulator, 756385799301, 0, 756385522037, 2121459021001453527, 57, 4480313, 639282381449
rtr_G0R1, width_adj_count, port3, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port4, Accumulator, 756385799301, 0, 154155920, 2473217997440, 12406, 104, 16384
rtr_G0R1, send_packet_count, port4, Accumulator, 756385799301, 0, 12406, 12406, 12406, 1, 1
rtr_G0R1, output_port_stalls, port4, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port4, Accumulator, 756385799301, 0, 754779123737, 8630469307076129973, 5176, 1435, 3591263967
rtr_G0R1, width_adj_count, port4, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port5, Accumulator, 756385799301, 0, 154133200, 2473208732800, 12350, 104, 16384
rtr_G0R1, send_packet_count, port5, Accumulator, 756385799301, 0, 12350, 12350, 12350, 1, 1
rtr_G0R1, output_port_stalls, port5, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port5, Accumulator, 756385799301, 0, 754779401001, 4820458988901088013, 3251, 1382027, 119948863096
rtr_G0R1, width_adj_count, port5, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port6, Accumulator, 756385799301, 0, 154133200, 2473208732800, 12350, 104, 16384
rtr_G0R1, send_packet_count, port6, Accumulator, 756385799301, 0, 12350, 12350, 12350, 1, 1
rtr_G0R1, output_port_stalls, port6, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port6, Accumulator, 756385799301, 0, 754779401001, 12158551985132308565, 6647, 1435, 120206326430
rtr_G0R1, width_adj_count, port6, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port7, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_packet_count, port7, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, output_port_stalls, port7, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port7, Accumulator, 756385799301, 0, 756385799301, 12156682184618269977, 1, 756385799301, 756385799301
rtr_G0R1, width_adj_count, port7, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port8, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_packet_count, port8, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, output_port_stalls, port8, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port8, Accumulator, 756385799301, 0, 756385799301, 12156682184618269977, 1, 756385799301, 756385799301
rtr_G0R1, width_adj_count, port8, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port9, Accumulator, 756385799301, 0, 616532800, 9892834931200, 49400, 104, 16384
rtr_G0R1, send_packet_count, port9, Accumulator, 756385799301, 0, 49400, 49400, 49400, 1, 1
rtr_G0R1, output_port_stalls, port9, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port9, Accumulator, 756385799301, 0, 749960206101, 6779150622768484729, 11864, 2669, 120208058629
rtr_G0R1, width_adj_count, port9, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, xbar_stalls, port0, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, xbar_stalls, port1, Accumulator, 756385799301, 0, 60623, 60623, 60623, 1, 1
rtr_G0R1, xbar_stalls, port2, Accumulator, 756385799301, 0, 212143, 212143, 212143, 1, 1
rtr_G0R1, xbar_stalls, port3, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, xbar_stalls, port4, Accumulator, 756385799301, 0, 26604, 26604, 26604, 1, 1
rtr_G0R1, xbar_stalls, port5, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, xbar_stalls, port6, Accumulator, 756385799301, 0, 195462, 195462, 195462, 1, 1
rtr_G0R1, xbar_stalls, port7, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, xbar_stalls, port8, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R1, xbar_stalls, port9, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 756385799301, 0, 6197507, 4633634493, 12518, 158, 4424
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 756385799301, 0, 154201360, 2473236526720, 12518, 104, 16384
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 756385799301, 0, 434831947155, 11413708708807721819, 3418, 124668, 2459158066
rtr_G0R2, send_bit_count, port0, Accumulator, 756385799301, 0, 154201360, 2473236526720, 12518, 104, 16384
rtr_G0R2, send_packet_count, port0, Accumulator, 756385799301, 0, 12518, 12518, 12518, 1, 1
rtr_G0R2, output_port_stalls, port0, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, idle_time, port0, Accumulator, 756385799301, 0, 754778569209, 7222409426342886261, 5291, 1462, 3479674200
rtr_G0R2, width_adj_count, port0, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, send_bit_count, port1, Accumulator, 756385799301, 0, 22720, 9264640, 56, 360, 424
rtr_G0R2, send_packet_count, port1, Accumulator, 756385799301, 0, 56, 56, 56, 1, 1
rtr_G0R2, output_port_stalls, port1, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, idle_time, port1, Accumulator, 756385799301, 0, 756385522037, 16754210716013701707, 57, 6660069, 639279395290
rtr_G0R2, width_adj_count, port1, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, send_bit_count, port2, Accumulator, 756385799301, 0, 154133200, 2473208732800, 12350, 104, 16384
rtr_G0R2, send_packet_count, port2, Accumulator, 756385799301, 0, 12350, 12350, 12350, 1, 1
rtr_G0R2, output_port_stalls, port2, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, idle_time, port2, Accumulator, 756385799301, 0, 754779401001, 429729725756603979, 3251, 1382027, 120697207748
rtr_G0R2, width_adj_count, port2, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, send_bit_count, port3, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, send_packet_count, port3, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, output_port_stalls, port3, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, idle_time, port3, Accumulator, 756385799301, 0, 756385799301, 12156682184618269977, 1, 756385799301, 756385799301
rtr_G0R2, width_adj_count, port3, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, send_bit_count, port4, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, send_packet_count, port4, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, output_port_stalls, port4, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, idle_time, port4, Accumulator, 756385799301, 0, 756385799301, 12156682184618269977, 1, 756385799301, 756385799301
rtr_G0R2, width_adj_count, port4, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
rtr_G0R2, send_bit_count, port5, Accumulator, 756385799301, 0, 22720, 9264640, 56, 360, 424
rtr_G0R2, send_packet_count, port5, Accumulator, 756385799301, 0, 56, 56, 56, 1, 1
rtr_G0R2, output_port_stalls, port5, Accumulator, 756385799301, 0, 0, 0, 0, 0, 0
