==================================================
 Topology          : 3D Torus 4x4x4 - MiniMD
 Routers           : 64
 Nodes per router  : 2  (local_ports)
 Total nodes       : 128
 Total MPI ranks   : 128
 PPN (ranks/node)  : 2   <-- should be 2
 Stats CSV         : /Users/stephenrajva/Downloads/HPC-Upload 2/SST_Stimulator/MiniMD/Torus/PPN_2/results/minimd_torus_4x4x4_ppn2_nodes128_stats.csv
==================================================
180000:0:127:EmberEngine:AllPingPong:generate:59: rank=127 size=128
180000:0:126:EmberEngine:AllPingPong:generate:59: rank=126 size=128
180000:0:125:EmberEngine:AllPingPong:generate:59: rank=125 size=128
180000:0:124:EmberEngine:AllPingPong:generate:59: rank=124 size=128
180000:0:123:EmberEngine:AllPingPong:generate:59: rank=123 size=128
180000:0:122:EmberEngine:AllPingPong:generate:59: rank=122 size=128
180000:0:121:EmberEngine:AllPingPong:generate:59: rank=121 size=128
180000:0:120:EmberEngine:AllPingPong:generate:59: rank=120 size=128
180000:0:119:EmberEngine:AllPingPong:generate:59: rank=119 size=128
180000:0:118:EmberEngine:AllPingPong:generate:59: rank=118 size=128
180000:0:117:EmberEngine:AllPingPong:generate:59: rank=117 size=128
180000:0:116:EmberEngine:AllPingPong:generate:59: rank=116 size=128
180000:0:115:EmberEngine:AllPingPong:generate:59: rank=115 size=128
180000:0:114:EmberEngine:AllPingPong:generate:59: rank=114 size=128
180000:0:113:EmberEngine:AllPingPong:generate:59: rank=113 size=128
180000:0:112:EmberEngine:AllPingPong:generate:59: rank=112 size=128
180000:0:111:EmberEngine:AllPingPong:generate:59: rank=111 size=128
180000:0:110:EmberEngine:AllPingPong:generate:59: rank=110 size=128
180000:0:109:EmberEngine:AllPingPong:generate:59: rank=109 size=128
180000:0:108:EmberEngine:AllPingPong:generate:59: rank=108 size=128
180000:0:107:EmberEngine:AllPingPong:generate:59: rank=107 size=128
180000:0:106:EmberEngine:AllPingPong:generate:59: rank=106 size=128
180000:0:105:EmberEngine:AllPingPong:generate:59: rank=105 size=128
180000:0:104:EmberEngine:AllPingPong:generate:59: rank=104 size=128
180000:0:103:EmberEngine:AllPingPong:generate:59: rank=103 size=128
180000:0:102:EmberEngine:AllPingPong:generate:59: rank=102 size=128
180000:0:101:EmberEngine:AllPingPong:generate:59: rank=101 size=128
180000:0:100:EmberEngine:AllPingPong:generate:59: rank=100 size=128
180000:0:99:EmberEngine:AllPingPong:generate:59: rank=99 size=128
180000:0:98:EmberEngine:AllPingPong:generate:59: rank=98 size=128
180000:0:97:EmberEngine:AllPingPong:generate:59: rank=97 size=128
180000:0:96:EmberEngine:AllPingPong:generate:59: rank=96 size=128
180000:0:95:EmberEngine:AllPingPong:generate:59: rank=95 size=128
180000:0:94:EmberEngine:AllPingPong:generate:59: rank=94 size=128
180000:0:93:EmberEngine:AllPingPong:generate:59: rank=93 size=128
180000:0:92:EmberEngine:AllPingPong:generate:59: rank=92 size=128
180000:0:91:EmberEngine:AllPingPong:generate:59: rank=91 size=128
180000:0:90:EmberEngine:AllPingPong:generate:59: rank=90 size=128
180000:0:89:EmberEngine:AllPingPong:generate:59: rank=89 size=128
180000:0:88:EmberEngine:AllPingPong:generate:59: rank=88 size=128
180000:0:87:EmberEngine:AllPingPong:generate:59: rank=87 size=128
180000:0:86:EmberEngine:AllPingPong:generate:59: rank=86 size=128
180000:0:85:EmberEngine:AllPingPong:generate:59: rank=85 size=128
180000:0:84:EmberEngine:AllPingPong:generate:59: rank=84 size=128
180000:0:83:EmberEngine:AllPingPong:generate:59: rank=83 size=128
180000:0:82:EmberEngine:AllPingPong:generate:59: rank=82 size=128
180000:0:81:EmberEngine:AllPingPong:generate:59: rank=81 size=128
180000:0:80:EmberEngine:AllPingPong:generate:59: rank=80 size=128
180000:0:79:EmberEngine:AllPingPong:generate:59: rank=79 size=128
180000:0:78:EmberEngine:AllPingPong:generate:59: rank=78 size=128
180000:0:77:EmberEngine:AllPingPong:generate:59: rank=77 size=128
180000:0:76:EmberEngine:AllPingPong:generate:59: rank=76 size=128
180000:0:75:EmberEngine:AllPingPong:generate:59: rank=75 size=128
180000:0:74:EmberEngine:AllPingPong:generate:59: rank=74 size=128
180000:0:73:EmberEngine:AllPingPong:generate:59: rank=73 size=128
180000:0:72:EmberEngine:AllPingPong:generate:59: rank=72 size=128
180000:0:71:EmberEngine:AllPingPong:generate:59: rank=71 size=128
180000:0:70:EmberEngine:AllPingPong:generate:59: rank=70 size=128
180000:0:69:EmberEngine:AllPingPong:generate:59: rank=69 size=128
180000:0:68:EmberEngine:AllPingPong:generate:59: rank=68 size=128
180000:0:67:EmberEngine:AllPingPong:generate:59: rank=67 size=128
180000:0:66:EmberEngine:AllPingPong:generate:59: rank=66 size=128
180000:0:65:EmberEngine:AllPingPong:generate:59: rank=65 size=128
180000:0:64:EmberEngine:AllPingPong:generate:59: rank=64 size=128
180000:0:63:EmberEngine:AllPingPong:generate:59: rank=63 size=128
180000:0:62:EmberEngine:AllPingPong:generate:59: rank=62 size=128
180000:0:61:EmberEngine:AllPingPong:generate:59: rank=61 size=128
180000:0:60:EmberEngine:AllPingPong:generate:59: rank=60 size=128
180000:0:59:EmberEngine:AllPingPong:generate:59: rank=59 size=128
180000:0:58:EmberEngine:AllPingPong:generate:59: rank=58 size=128
180000:0:57:EmberEngine:AllPingPong:generate:59: rank=57 size=128
180000:0:56:EmberEngine:AllPingPong:generate:59: rank=56 size=128
180000:0:55:EmberEngine:AllPingPong:generate:59: rank=55 size=128
180000:0:54:EmberEngine:AllPingPong:generate:59: rank=54 size=128
180000:0:53:EmberEngine:AllPingPong:generate:59: rank=53 size=128
180000:0:52:EmberEngine:AllPingPong:generate:59: rank=52 size=128
180000:0:51:EmberEngine:AllPingPong:generate:59: rank=51 size=128
180000:0:50:EmberEngine:AllPingPong:generate:59: rank=50 size=128
180000:0:49:EmberEngine:AllPingPong:generate:59: rank=49 size=128
180000:0:48:EmberEngine:AllPingPong:generate:59: rank=48 size=128
180000:0:47:EmberEngine:AllPingPong:generate:59: rank=47 size=128
180000:0:46:EmberEngine:AllPingPong:generate:59: rank=46 size=128
180000:0:45:EmberEngine:AllPingPong:generate:59: rank=45 size=128
180000:0:44:EmberEngine:AllPingPong:generate:59: rank=44 size=128
180000:0:43:EmberEngine:AllPingPong:generate:59: rank=43 size=128
180000:0:42:EmberEngine:AllPingPong:generate:59: rank=42 size=128
180000:0:41:EmberEngine:AllPingPong:generate:59: rank=41 size=128
180000:0:40:EmberEngine:AllPingPong:generate:59: rank=40 size=128
180000:0:39:EmberEngine:AllPingPong:generate:59: rank=39 size=128
180000:0:38:EmberEngine:AllPingPong:generate:59: rank=38 size=128
180000:0:37:EmberEngine:AllPingPong:generate:59: rank=37 size=128
180000:0:36:EmberEngine:AllPingPong:generate:59: rank=36 size=128
180000:0:35:EmberEngine:AllPingPong:generate:59: rank=35 size=128
180000:0:34:EmberEngine:AllPingPong:generate:59: rank=34 size=128
180000:0:33:EmberEngine:AllPingPong:generate:59: rank=33 size=128
180000:0:32:EmberEngine:AllPingPong:generate:59: rank=32 size=128
180000:0:31:EmberEngine:AllPingPong:generate:59: rank=31 size=128
180000:0:30:EmberEngine:AllPingPong:generate:59: rank=30 size=128
180000:0:29:EmberEngine:AllPingPong:generate:59: rank=29 size=128
180000:0:28:EmberEngine:AllPingPong:generate:59: rank=28 size=128
180000:0:27:EmberEngine:AllPingPong:generate:59: rank=27 size=128
180000:0:26:EmberEngine:AllPingPong:generate:59: rank=26 size=128
180000:0:25:EmberEngine:AllPingPong:generate:59: rank=25 size=128
180000:0:24:EmberEngine:AllPingPong:generate:59: rank=24 size=128
180000:0:23:EmberEngine:AllPingPong:generate:59: rank=23 size=128
180000:0:22:EmberEngine:AllPingPong:generate:59: rank=22 size=128
180000:0:21:EmberEngine:AllPingPong:generate:59: rank=21 size=128
180000:0:20:EmberEngine:AllPingPong:generate:59: rank=20 size=128
180000:0:19:EmberEngine:AllPingPong:generate:59: rank=19 size=128
180000:0:18:EmberEngine:AllPingPong:generate:59: rank=18 size=128
180000:0:17:EmberEngine:AllPingPong:generate:59: rank=17 size=128
180000:0:16:EmberEngine:AllPingPong:generate:59: rank=16 size=128
180000:0:15:EmberEngine:AllPingPong:generate:59: rank=15 size=128
180000:0:14:EmberEngine:AllPingPong:generate:59: rank=14 size=128
180000:0:13:EmberEngine:AllPingPong:generate:59: rank=13 size=128
180000:0:12:EmberEngine:AllPingPong:generate:59: rank=12 size=128
180000:0:11:EmberEngine:AllPingPong:generate:59: rank=11 size=128
180000:0:10:EmberEngine:AllPingPong:generate:59: rank=10 size=128
180000:0:9:EmberEngine:AllPingPong:generate:59: rank=9 size=128
180000:0:8:EmberEngine:AllPingPong:generate:59: rank=8 size=128
180000:0:7:EmberEngine:AllPingPong:generate:59: rank=7 size=128
180000:0:6:EmberEngine:AllPingPong:generate:59: rank=6 size=128
180000:0:5:EmberEngine:AllPingPong:generate:59: rank=5 size=128
180000:0:4:EmberEngine:AllPingPong:generate:59: rank=4 size=128
180000:0:3:EmberEngine:AllPingPong:generate:59: rank=3 size=128
180000:0:2:EmberEngine:AllPingPong:generate:59: rank=2 size=128
