ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0x0, send_bit_count, port0, Accumulator, 756035429537, 0, 68160, 27793920, 168, 360, 424
rtr_0x0x0, send_packet_count, port0, Accumulator, 756035429537, 0, 168, 168, 168, 1, 1
rtr_0x0x0, output_port_stalls, port0, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port0, Accumulator, 756035429537, 0, 756034597745, 1533717080188633953, 169, 124066, 638921520442
rtr_0x0x0, width_adj_count, port0, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port1, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_packet_count, port1, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, output_port_stalls, port1, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port1, Accumulator, 756035429537, 0, 756035429537, 17205591305635212609, 1, 756035429537, 756035429537
rtr_0x0x0, width_adj_count, port1, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port2, Accumulator, 756035429537, 0, 45440, 18529280, 112, 360, 424
rtr_0x0x0, send_packet_count, port2, Accumulator, 756035429537, 0, 112, 112, 112, 1, 1
rtr_0x0x0, output_port_stalls, port2, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port2, Accumulator, 756035429537, 0, 756034875009, 6357868947425096883, 113, 951146, 638925053541
rtr_0x0x0, width_adj_count, port2, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port3, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_packet_count, port3, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, output_port_stalls, port3, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port3, Accumulator, 756035429537, 0, 756035429537, 17205591305635212609, 1, 756035429537, 756035429537
rtr_0x0x0, width_adj_count, port3, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port4, Accumulator, 756035429537, 0, 308311840, 4946435994880, 24812, 104, 16384
rtr_0x0x0, send_packet_count, port4, Accumulator, 756035429537, 0, 24812, 24812, 24812, 1, 1
rtr_0x0x0, output_port_stalls, port4, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port4, Accumulator, 756035429537, 0, 752822078409, 18355775026377112735, 11814, 92714, 2461624201
rtr_0x0x0, width_adj_count, port4, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port5, Accumulator, 756035429537, 0, 0, 0, 0, 0, 0
