ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_G0R0, send_bit_count, port0, Accumulator, 1210569133, 0, 781032, 2339823680, 607, 360, 4280
rtr_G0R0, send_packet_count, port0, Accumulator, 1210569133, 0, 607, 607, 607, 1, 1
rtr_G0R0, output_port_stalls, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port0, Accumulator, 1210569133, 0, 1202093919, 2684553836409781, 608, 126401, 16329868
rtr_G0R0, width_adj_count, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port1, Accumulator, 1210569133, 0, 206192, 493517568, 235, 360, 3632
rtr_G0R0, send_packet_count, port1, Accumulator, 1210569133, 0, 235, 235, 235, 1, 1
rtr_G0R0, output_port_stalls, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port1, Accumulator, 1210569133, 0, 1208279039, 138756371633261109, 236, 126401, 367417343
rtr_G0R0, width_adj_count, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port2, Accumulator, 1210569133, 0, 576120, 1847964992, 372, 360, 4280
rtr_G0R0, send_packet_count, port2, Accumulator, 1210569133, 0, 372, 372, 372, 1, 1
rtr_G0R0, output_port_stalls, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port2, Accumulator, 1210569133, 0, 1204368017, 9229280865874509, 373, 1417401, 69578401
rtr_G0R0, width_adj_count, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 1210569133, 0, 129941, 28499721, 607, 198, 285
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 1210569133, 0, 782312, 2341482560, 607, 360, 4280
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 1210569133, 0, 545289457, 790386443568297, 607, 120669, 12178536
rtr_G0R1, send_bit_count, port0, Accumulator, 1210569133, 0, 283832, 524407360, 432, 360, 3632
rtr_G0R1, send_packet_count, port0, Accumulator, 1210569133, 0, 432, 432, 432, 1, 1
rtr_G0R1, output_port_stalls, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port0, Accumulator, 1210569133, 0, 1207357936, 135517701489085740, 433, 47735, 365558143
rtr_G0R1, width_adj_count, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port1, Accumulator, 1210569133, 0, 540712, 1811105088, 340, 360, 4280
rtr_G0R1, send_packet_count, port1, Accumulator, 1210569133, 0, 340, 340, 340, 1, 1
rtr_G0R1, output_port_stalls, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port1, Accumulator, 1210569133, 0, 1204741257, 14101092471062875, 341, 126401, 71413336
rtr_G0R1, width_adj_count, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R1, send_bit_count, port2, Accumulator, 1210569133, 0, 80728, 32731840, 203, 360, 808
rtr_G0R1, send_packet_count, port2, Accumulator, 1210569133, 0, 203, 203, 203, 1, 1
rtr_G0R1, output_port_stalls, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port2, Accumulator, 1210569133, 0, 1209612039, 192860267370926469, 204, 125068, 435184801
rtr_G0R1, width_adj_count, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R1, xbar_stalls, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R1, xbar_stalls, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G0R1, xbar_stalls, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 1210569133, 0, 85625, 16971461, 432, 198, 199
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 1210569133, 0, 283832, 524407360, 432, 360, 3632
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 1210569133, 0, 892066543, 133915381360087381, 432, 124668, 364766810
rtr_G1R0, send_bit_count, port0, Accumulator, 1210569133, 0, 243408, 530560640, 273, 360, 3632
rtr_G1R0, send_packet_count, port0, Accumulator, 1210569133, 0, 273, 273, 273, 1, 1
rtr_G1R0, output_port_stalls, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R0, idle_time, port0, Accumulator, 1210569133, 0, 1207885804, 38214821769304744, 274, 125068, 153710936
rtr_G1R0, width_adj_count, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R0, send_bit_count, port1, Accumulator, 1210569133, 0, 337608, 1319429568, 111, 360, 4280
rtr_G1R0, send_packet_count, port1, Accumulator, 1210569133, 0, 111, 111, 111, 1, 1
rtr_G1R0, output_port_stalls, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R0, idle_time, port1, Accumulator, 1210569133, 0, 1206995360, 422069244149460004, 112, 125601, 521869868
rtr_G1R0, width_adj_count, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R0, send_bit_count, port2, Accumulator, 1210569133, 0, 240320, 528718592, 267, 360, 3632
rtr_G1R0, send_packet_count, port2, Accumulator, 1210569133, 0, 267, 267, 267, 1, 1
rtr_G1R0, output_port_stalls, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R0, idle_time, port2, Accumulator, 1210569133, 0, 1207921795, 38630760745756995, 268, 178936, 153959801
rtr_G1R0, width_adj_count, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R0, xbar_stalls, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R0, xbar_stalls, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R0, xbar_stalls, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, packet_latency, , Accumulator, 1210569133, 0, 54550, 10943882, 273, 197, 285
nic2:rtrLink:networkIF, send_bit_count, , Accumulator, 1210569133, 0, 242768, 529731200, 273, 360, 3632
nic2:rtrLink:networkIF, output_port_stalls, , Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, idle_time, , Accumulator, 1210569133, 0, 898538490, 31101870945961914, 274, 126001, 152736268
rtr_G1R1, send_bit_count, port0, Accumulator, 1210569133, 0, 415888, 1351148800, 308, 360, 4280
rtr_G1R1, send_packet_count, port0, Accumulator, 1210569133, 0, 308, 308, 308, 1, 1
rtr_G1R1, output_port_stalls, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R1, idle_time, port0, Accumulator, 1210569133, 0, 1206066259, 28028979115034909, 309, 125601, 138136801
rtr_G1R1, width_adj_count, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R1, send_bit_count, port1, Accumulator, 1210569133, 0, 2448, 1012608, 6, 360, 456
rtr_G1R1, send_packet_count, port1, Accumulator, 1210569133, 0, 6, 6, 6, 1, 1
rtr_G1R1, output_port_stalls, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R1, idle_time, port1, Accumulator, 1210569133, 0, 1210541140, 814361578931693164, 7, 557868, 817604868
rtr_G1R1, width_adj_count, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R1, send_bit_count, port2, Accumulator, 1210569133, 0, 415248, 1350319360, 308, 360, 4280
rtr_G1R1, send_packet_count, port2, Accumulator, 1210569133, 0, 308, 308, 308, 1, 1
rtr_G1R1, output_port_stalls, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R1, idle_time, port2, Accumulator, 1210569133, 0, 1206074257, 28999682145417835, 309, 125068, 141915201
rtr_G1R1, width_adj_count, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R1, xbar_stalls, port0, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R1, xbar_stalls, port1, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
rtr_G1R1, xbar_stalls, port2, Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
nic3:rtrLink:networkIF, packet_latency, , Accumulator, 1210569133, 0, 70158, 16502522, 308, 197, 285
nic3:rtrLink:networkIF, send_bit_count, , Accumulator, 1210569133, 0, 415248, 1350319360, 308, 360, 4280
nic3:rtrLink:networkIF, output_port_stalls, , Accumulator, 1210569133, 0, 0, 0, 0, 0, 0
