Rank,Neighbors,Avg HopCount
0,2,3.0
1,3,3.0
2,3,3.0
3,3,3.0
4,3,3.0
5,3,3.0
6,3,3.0
7,3,3.0
8,3,3.0
9,3,3.0
10,3,3.0
11,3,3.0
12,3,3.0
13,3,3.0
14,3,3.0
15,2,3.0
16,3,3.0
17,4,3.0
18,4,3.0
19,4,3.0
20,4,3.0
21,4,3.0
22,4,3.0
23,4,3.0
24,4,3.0
25,4,3.0
26,4,3.0
27,4,3.0
28,4,3.0
29,4,3.0
30,4,3.0
31,3,3.0
32,3,3.0
33,4,3.0
34,4,3.0
35,4,3.0
36,4,3.0
37,4,3.0
38,4,3.0
39,4,3.0
40,4,3.0
41,4,3.0
42,4,3.0
43,4,3.0
44,4,3.0
45,4,3.0
46,4,3.0
47,3,3.0
48,3,3.0
49,4,3.0
50,4,3.0
51,4,3.0
52,4,3.0
53,4,3.0
54,4,3.0
55,4,3.0
56,4,3.0
57,4,3.0
58,4,3.0
59,4,3.0
60,4,3.0
61,4,3.0
62,4,3.0
63,3,3.0
64,3,3.0
65,4,3.0
66,4,3.0
67,4,3.0
68,4,3.0
69,4,3.0
70,4,3.0
71,4,3.0
72,4,3.0
73,4,3.0
74,4,3.0
75,4,3.0
76,4,3.0
77,4,3.0
78,4,3.0
79,3,3.0
80,3,3.0
81,4,3.0
82,4,3.0
83,4,3.0
84,4,3.0
85,4,3.0
86,4,3.0
87,4,3.0
88,4,3.0
89,4,3.0
90,4,3.0
91,4,3.0
92,4,3.0
93,4,3.0
94,4,3.0
95,3,3.0
96,3,3.0
97,4,3.0
98,4,3.0
99,4,3.0
100,4,3.0
101,4,3.0
102,4,3.0
103,4,3.0
104,4,3.0
105,4,3.0
106,4,3.0
107,4,3.0
108,4,3.0
109,4,3.0
110,4,3.0
111,3,3.0
112,3,3.0
113,4,3.0
114,4,3.0
115,4,3.0
116,4,3.0
117,4,3.0
118,4,3.0
119,4,3.0
120,4,3.0
121,4,3.0
122,4,3.0
123,4,3.0
124,4,3.0
125,4,3.0
126,4,3.0
127,3,3.0
128,3,3.0
129,4,3.0
130,4,3.0
131,4,3.0
132,4,3.0
133,4,3.0
134,4,3.0
135,4,3.0
136,4,3.0
137,4,3.0
138,4,3.0
139,4,3.0
140,4,3.0
141,4,3.0
142,4,3.0
143,3,3.0
144,3,3.0
145,4,3.0
146,4,3.0
147,4,3.0
148,4,3.0
149,4,3.0
150,4,3.0
151,4,3.0
152,4,3.0
153,4,3.0
154,4,3.0
155,4,3.0
156,4,3.0
157,4,3.0
158,4,3.0
159,3,3.0
160,3,3.0
161,4,3.0
162,4,3.0
163,4,3.0
164,4,3.0
165,4,3.0
166,4,3.0
167,4,3.0
168,4,3.0
169,4,3.0
170,4,3.0
171,4,3.0
172,4,3.0
173,4,3.0
174,4,3.0
175,3,3.0
176,3,3.0
177,4,3.0
178,4,3.0
179,4,3.0
180,4,3.0
181,4,3.0
182,4,3.0
183,4,3.0
184,4,3.0
185,4,3.0
186,4,3.0
187,4,3.0
188,4,3.0
189,4,3.0
190,4,3.0
191,3,3.0
192,3,3.0
193,4,3.0
194,4,3.0
195,4,3.0
196,4,3.0
197,4,3.0
198,4,3.0
199,4,3.0
200,4,3.0
201,4,3.0
202,4,3.0
203,4,3.0
204,4,3.0
205,4,3.0
206,4,3.0
207,3,3.0
208,3,3.0
209,4,3.0
210,4,3.0
211,4,3.0
212,4,3.0
213,4,3.0
214,4,3.0
215,4,3.0
216,4,3.0
217,4,3.0
218,4,3.0
219,4,3.0
220,4,3.0
221,4,3.0
222,4,3.0
223,3,3.0
224,3,3.0
225,4,3.0
226,4,3.0
227,4,3.0
228,4,3.0
229,4,3.0
230,4,3.0
231,4,3.0
232,4,3.0
233,4,3.0
234,4,3.0
235,4,3.0
236,4,3.0
237,4,3.0
238,4,3.0
239,3,3.0
240,2,3.0
241,3,3.0
242,3,3.0
243,3,3.0
244,3,3.0
245,3,3.0
246,3,3.0
247,3,3.0
248,3,3.0
249,3,3.0
250,3,3.0
251,3,3.0
252,3,3.0
253,3,3.0
254,3,3.0
255,2,3.0
