Pattern,Ranks,Number of Pairs,Avg Hop Count
AllPingPong Neighbor1,16,8,3.0
AllPingPong Neighbor2,16,8,3.0
AllPingPong Neighbor3,16,12,3.0
AllPingPong Neighbor4,16,3,5.0
Allreduce,16,-,4.4
Barrier,16,-,10.0
"AllPingPong Neighbor1 (offset (1, 0, 0)) Pair 0-1",2,1,3
"AllPingPong Neighbor1 (offset (1, 0, 0)) Pair 2-3",2,1,3
"AllPingPong Neighbor1 (offset (1, 0, 0)) Pair 4-5",2,1,3
"AllPingPong Neighbor1 (offset (1, 0, 0)) Pair 6-7",2,1,3
"AllPingPong Neighbor1 (offset (1, 0, 0)) Pair 8-9",2,1,3
"AllPingPong Neighbor1 (offset (1, 0, 0)) Pair 10-11",2,1,3
"AllPingPong Neighbor1 (offset (1, 0, 0)) Pair 12-13",2,1,3
"AllPingPong Neighbor1 (offset (1, 0, 0)) Pair 14-15",2,1,3
"AllPingPong Neighbor2 (offset (0, 1, 0)) Pair 0-2",2,1,3
"AllPingPong Neighbor2 (offset (0, 1, 0)) Pair 1-3",2,1,3
"AllPingPong Neighbor2 (offset (0, 1, 0)) Pair 4-6",2,1,3
"AllPingPong Neighbor2 (offset (0, 1, 0)) Pair 5-7",2,1,3
"AllPingPong Neighbor2 (offset (0, 1, 0)) Pair 8-10",2,1,3
"AllPingPong Neighbor2 (offset (0, 1, 0)) Pair 9-11",2,1,3
"AllPingPong Neighbor2 (offset (0, 1, 0)) Pair 12-14",2,1,3
"AllPingPong Neighbor2 (offset (0, 1, 0)) Pair 13-15",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 0-4",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 1-5",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 2-6",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 3-7",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 4-8",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 5-9",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 6-10",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 7-11",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 8-12",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 9-13",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 10-14",2,1,3
"AllPingPong Neighbor3 (offset (0, 0, 1)) Pair 11-15",2,1,3
"AllPingPong Neighbor4 (offset (1, 1, 1)) Pair 0-7",2,1,5
"AllPingPong Neighbor4 (offset (1, 1, 1)) Pair 4-11",2,1,5
"AllPingPong Neighbor4 (offset (1, 1, 1)) Pair 8-15",2,1,5
Overall Average,-,-,3.467
