Rank,Neighbor Rank,"Neighbor Offset (x,y,z)",Hop Count
0,1,"(1, 0, 0)",3
0,2,"(0, 1, 0)",3
0,4,"(0, 0, 1)",3
0,7,"(1, 1, 1)",5
1,0,"(-1, 0, 0)",3
1,3,"(0, 1, 0)",3
1,5,"(0, 0, 1)",3
2,3,"(1, 0, 0)",3
2,0,"(0, -1, 0)",3
2,6,"(0, 0, 1)",3
3,2,"(-1, 0, 0)",3
3,1,"(0, -1, 0)",3
3,7,"(0, 0, 1)",3
4,5,"(1, 0, 0)",3
4,6,"(0, 1, 0)",3
4,0,"(0, 0, -1)",3
4,8,"(0, 0, 1)",3
4,11,"(1, 1, 1)",5
5,4,"(-1, 0, 0)",3
5,7,"(0, 1, 0)",3
5,1,"(0, 0, -1)",3
5,9,"(0, 0, 1)",3
6,7,"(1, 0, 0)",3
6,4,"(0, -1, 0)",3
6,2,"(0, 0, -1)",3
6,10,"(0, 0, 1)",3
7,6,"(-1, 0, 0)",3
7,5,"(0, -1, 0)",3
7,3,"(0, 0, -1)",3
7,11,"(0, 0, 1)",3
7,0,"(-1, -1, -1)",5
8,9,"(1, 0, 0)",3
8,10,"(0, 1, 0)",3
8,4,"(0, 0, -1)",3
8,12,"(0, 0, 1)",3
8,15,"(1, 1, 1)",5
9,8,"(-1, 0, 0)",3
9,11,"(0, 1, 0)",3
9,5,"(0, 0, -1)",3
9,13,"(0, 0, 1)",3
10,11,"(1, 0, 0)",3
10,8,"(0, -1, 0)",3
10,6,"(0, 0, -1)",3
10,14,"(0, 0, 1)",3
11,10,"(-1, 0, 0)",3
11,9,"(0, -1, 0)",3
11,7,"(0, 0, -1)",3
11,15,"(0, 0, 1)",3
11,4,"(-1, -1, -1)",5
12,13,"(1, 0, 0)",3
12,14,"(0, 1, 0)",3
12,8,"(0, 0, -1)",3
13,12,"(-1, 0, 0)",3
13,15,"(0, 1, 0)",3
13,9,"(0, 0, -1)",3
14,15,"(1, 0, 0)",3
14,12,"(0, -1, 0)",3
14,10,"(0, 0, -1)",3
15,14,"(-1, 0, 0)",3
15,13,"(0, -1, 0)",3
15,11,"(0, 0, -1)",3
15,8,"(-1, -1, -1)",5
