ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_G0R0, send_bit_count, port0, Accumulator, 21124848, 0, 1568, 618752, 4, 360, 424
rtr_G0R0, send_packet_count, port0, Accumulator, 21124848, 0, 4, 4, 4, 1, 1
rtr_G0R0, output_port_stalls, port0, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port0, Accumulator, 21124848, 0, 21072848, 159325264588034, 5, 177952, 10368201
rtr_G0R0, width_adj_count, port0, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port1, Accumulator, 21124848, 0, 2352, 928128, 6, 360, 424
rtr_G0R0, send_packet_count, port1, Accumulator, 21124848, 0, 6, 6, 6, 1, 1
rtr_G0R0, output_port_stalls, port1, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port1, Accumulator, 21124848, 0, 21046848, 120845060702974, 7, 505870, 9553738
rtr_G0R0, width_adj_count, port1, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port2, Accumulator, 21124848, 0, 1928, 748352, 5, 360, 424
rtr_G0R0, send_packet_count, port2, Accumulator, 21124848, 0, 5, 5, 5, 1, 1
rtr_G0R0, output_port_stalls, port2, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port2, Accumulator, 21124848, 0, 21060848, 121320818218174, 6, 669829, 8739275
rtr_G0R0, width_adj_count, port2, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port3, Accumulator, 21124848, 0, 2352, 928128, 6, 360, 424
rtr_G0R0, send_packet_count, port3, Accumulator, 21124848, 0, 6, 6, 6, 1, 1
rtr_G0R0, output_port_stalls, port3, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port3, Accumulator, 21124848, 0, 21046848, 124366350621692, 7, 13993, 8608641
rtr_G0R0, width_adj_count, port3, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port4, Accumulator, 21124848, 0, 1928, 748352, 5, 360, 424
rtr_G0R0, send_packet_count, port4, Accumulator, 21124848, 0, 5, 5, 5, 1, 1
rtr_G0R0, output_port_stalls, port4, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port4, Accumulator, 21124848, 0, 21060848, 216452788225104, 6, 13993, 12999543
rtr_G0R0, width_adj_count, port4, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port5, Accumulator, 21124848, 0, 3200, 1287680, 8, 360, 424
rtr_G0R0, send_packet_count, port5, Accumulator, 21124848, 0, 8, 8, 8, 1, 1
rtr_G0R0, output_port_stalls, port5, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port5, Accumulator, 21124848, 0, 21018848, 136485328922778, 7, 48651, 7463591
rtr_G0R0, width_adj_count, port5, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port6, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_packet_count, port6, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, output_port_stalls, port6, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port6, Accumulator, 21124848, 0, 21124848, 446259203023104, 1, 21124848, 21124848
rtr_G0R0, width_adj_count, port6, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port0, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port1, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port2, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port3, Accumulator, 21124848, 0, 13, 13, 13, 1, 1
rtr_G0R0, xbar_stalls, port4, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port5, Accumulator, 21124848, 0, 0, 0, 0, 0, 0
