ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 3809178, 0, 784, 309376, 2, 360, 424
rtr_0x0, send_packet_count, port0, Accumulator, 3809178, 0, 2, 2, 2, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 3809178, 0, 3783178, 5561040243766, 3, 570651, 1800213
rtr_0x0, width_adj_count, port0, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 3809178, 0, 3809178, 14509837035684, 1, 3809178, 3809178
rtr_0x0, width_adj_count, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 3809178, 0, 784, 309376, 2, 360, 424
rtr_0x0, send_packet_count, port4, Accumulator, 3809178, 0, 2, 2, 2, 1, 1
rtr_0x0, output_port_stalls, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 3809178, 0, 3783178, 5516733456566, 3, 597851, 1800213
rtr_0x0, width_adj_count, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port0, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port1, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x0, xbar_stalls, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port1, Accumulator, 3809178, 0, 784, 309376, 2, 360, 424
rtr_1x0, send_packet_count, port1, Accumulator, 3809178, 0, 2, 2, 2, 1, 1
rtr_1x0, output_port_stalls, port1, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port1, Accumulator, 3809178, 0, 3783178, 5623229380594, 3, 535200, 1800213
rtr_1x0, width_adj_count, port1, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, send_packet_count, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, output_port_stalls, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port2, Accumulator, 3809178, 0, 3809178, 14509837035684, 1, 3809178, 3809178
rtr_1x0, width_adj_count, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, send_bit_count, port4, Accumulator, 3809178, 0, 784, 309376, 2, 360, 424
rtr_1x0, send_packet_count, port4, Accumulator, 3809178, 0, 2, 2, 2, 1, 1
rtr_1x0, output_port_stalls, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, idle_time, port4, Accumulator, 3809178, 0, 3783178, 5674352596594, 3, 508000, 1800213
rtr_1x0, width_adj_count, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port0, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port1, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x0, xbar_stalls, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, send_bit_count, port0, Accumulator, 3809178, 0, 728, 265024, 2, 360, 368
rtr_0x1, send_packet_count, port0, Accumulator, 3809178, 0, 2, 2, 2, 1, 1
rtr_0x1, output_port_stalls, port0, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, idle_time, port0, Accumulator, 3809178, 0, 3785178, 5630434232594, 3, 535200, 1802213
rtr_0x1, width_adj_count, port0, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, send_bit_count, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, send_packet_count, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, output_port_stalls, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, idle_time, port3, Accumulator, 3809178, 0, 3809178, 14509837035684, 1, 3809178, 3809178
rtr_0x1, width_adj_count, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, send_bit_count, port4, Accumulator, 3809178, 0, 728, 265024, 2, 360, 368
rtr_0x1, send_packet_count, port4, Accumulator, 3809178, 0, 2, 2, 2, 1, 1
rtr_0x1, output_port_stalls, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, idle_time, port4, Accumulator, 3809178, 0, 3785178, 6330909501986, 3, 597851, 2262228
rtr_0x1, width_adj_count, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port0, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port1, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, send_bit_count, port1, Accumulator, 3809178, 0, 728, 265024, 2, 360, 368
rtr_1x1, send_packet_count, port1, Accumulator, 3809178, 0, 2, 2, 2, 1, 1
rtr_1x1, output_port_stalls, port1, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, idle_time, port1, Accumulator, 3809178, 0, 3785178, 6547309564442, 3, 535200, 2324879
rtr_1x1, width_adj_count, port1, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, send_bit_count, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, send_packet_count, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, output_port_stalls, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, idle_time, port3, Accumulator, 3809178, 0, 3809178, 14509837035684, 1, 3809178, 3809178
rtr_1x1, width_adj_count, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, send_bit_count, port4, Accumulator, 3809178, 0, 728, 265024, 2, 360, 368
rtr_1x1, send_packet_count, port4, Accumulator, 3809178, 0, 2, 2, 2, 1, 1
rtr_1x1, output_port_stalls, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, idle_time, port4, Accumulator, 3809178, 0, 3785178, 5523938308566, 3, 597851, 1802213
rtr_1x1, width_adj_count, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, xbar_stalls, port0, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, xbar_stalls, port1, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, xbar_stalls, port2, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, xbar_stalls, port3, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
rtr_1x1, xbar_stalls, port4, Accumulator, 3809178, 0, 0, 0, 0, 0, 0
