ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x1, send_bit_count, port0, Accumulator, 3809178, 2, 728, 265024, 2, 360, 368
rtr_0x1, send_packet_count, port0, Accumulator, 3809178, 2, 2, 2, 2, 1, 1
rtr_0x1, output_port_stalls, port0, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, idle_time, port0, Accumulator, 3809178, 2, 3785178, 5630434232594, 3, 535200, 1802213
rtr_0x1, width_adj_count, port0, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, send_bit_count, port3, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, send_packet_count, port3, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, output_port_stalls, port3, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, idle_time, port3, Accumulator, 3809178, 2, 3809178, 14509837035684, 1, 3809178, 3809178
rtr_0x1, width_adj_count, port3, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, send_bit_count, port4, Accumulator, 3809178, 2, 728, 265024, 2, 360, 368
rtr_0x1, send_packet_count, port4, Accumulator, 3809178, 2, 2, 2, 2, 1, 1
rtr_0x1, output_port_stalls, port4, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, idle_time, port4, Accumulator, 3809178, 2, 3785178, 6330909501986, 3, 597851, 2262228
rtr_0x1, width_adj_count, port4, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port0, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port1, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port2, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port3, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
rtr_0x1, xbar_stalls, port4, Accumulator, 3809178, 2, 0, 0, 0, 0, 0
