ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_G0R0, send_bit_count, port0, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_packet_count, port0, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, output_port_stalls, port0, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port0, Accumulator, 91870733, 0, 91870733, 8440231581957289, 1, 91870733, 91870733
rtr_G0R0, width_adj_count, port0, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port1, Accumulator, 91870733, 0, 784, 309376, 2, 360, 424
rtr_G0R0, send_packet_count, port1, Accumulator, 91870733, 0, 2, 2, 2, 1, 1
rtr_G0R0, output_port_stalls, port1, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port1, Accumulator, 91870733, 0, 91861402, 5615502418389114, 3, 5302933, 73620601
rtr_G0R0, width_adj_count, port1, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port2, Accumulator, 91870733, 0, 1864, 696128, 5, 360, 392
rtr_G0R0, send_packet_count, port2, Accumulator, 91870733, 0, 5, 5, 5, 1, 1
rtr_G0R0, output_port_stalls, port2, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port2, Accumulator, 91870733, 0, 91848072, 6304084437564940, 6, 128801, 79030201
rtr_G0R0, width_adj_count, port2, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port3, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_packet_count, port3, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, output_port_stalls, port3, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port3, Accumulator, 91870733, 0, 91870733, 8440231581957289, 1, 91870733, 91870733
rtr_G0R0, width_adj_count, port3, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port4, Accumulator, 91870733, 0, 2200, 806720, 6, 360, 368
rtr_G0R0, send_packet_count, port4, Accumulator, 91870733, 0, 6, 6, 6, 1, 1
rtr_G0R0, output_port_stalls, port4, Accumulator, 91870733, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port4, Accumulator, 91870733, 0, 91846739, 2061323647792495, 7, 3054401, 35590201
