Job ID,Pattern,Size,Avg Hop Count,Rank,Coordinates
1,Allreduce,32,21.87,0,"(13,16)"
1,Allreduce,32,21.87,1,"(5,11)"
1,Allreduce,32,21.87,2,"(28,13)"
1,Allreduce,32,21.87,3,"(31,0)"
1,Allreduce,32,21.87,4,"(10,19)"
1,Allreduce,32,21.87,5,"(11,18)"
1,Allreduce,32,21.87,6,"(31,13)"
1,Allreduce,32,21.87,7,"(30,22)"
1,Allreduce,32,21.87,8,"(12,2)"
1,Allreduce,32,21.87,9,"(11,22)"
1,Allreduce,32,21.87,10,"(18,11)"
1,Allreduce,32,21.87,11,"(6,2)"
1,Allreduce,32,21.87,12,"(5,21)"
1,Allreduce,32,21.87,13,"(5,3)"
1,Allreduce,32,21.87,14,"(13,19)"
1,Allreduce,32,21.87,15,"(13,20)"
1,Allreduce,32,21.87,16,"(24,8)"
1,Allreduce,32,21.87,17,"(9,13)"
1,Allreduce,32,21.87,18,"(20,12)"
1,Allreduce,32,21.87,19,"(13,23)"
1,Allreduce,32,21.87,20,"(0,3)"
1,Allreduce,32,21.87,21,"(6,28)"
1,Allreduce,32,21.87,22,"(5,8)"
1,Allreduce,32,21.87,23,"(24,9)"
1,Allreduce,32,21.87,24,"(18,16)"
1,Allreduce,32,21.87,25,"(24,21)"
1,Allreduce,32,21.87,26,"(10,11)"
1,Allreduce,32,21.87,27,"(1,9)"
1,Allreduce,32,21.87,28,"(22,27)"
1,Allreduce,32,21.87,29,"(7,31)"
1,Allreduce,32,21.87,30,"(3,19)"
1,Allreduce,32,21.87,31,"(23,21)"
2,Alltoall,60,23.35,0,"(17,31)"
2,Alltoall,60,23.35,1,"(7,10)"
2,Alltoall,60,23.35,2,"(27,12)"
2,Alltoall,60,23.35,3,"(30,8)"
2,Alltoall,60,23.35,4,"(21,6)"
2,Alltoall,60,23.35,5,"(22,19)"
2,Alltoall,60,23.35,6,"(16,13)"
2,Alltoall,60,23.35,7,"(7,6)"
2,Alltoall,60,23.35,8,"(30,19)"
2,Alltoall,60,23.35,9,"(4,30)"
2,Alltoall,60,23.35,10,"(30,25)"
2,Alltoall,60,23.35,11,"(15,18)"
2,Alltoall,60,23.35,12,"(29,14)"
2,Alltoall,60,23.35,13,"(10,12)"
2,Alltoall,60,23.35,14,"(8,29)"
2,Alltoall,60,23.35,15,"(20,7)"
2,Alltoall,60,23.35,16,"(5,19)"
2,Alltoall,60,23.35,17,"(2,9)"
2,Alltoall,60,23.35,18,"(0,28)"
2,Alltoall,60,23.35,19,"(3,20)"
2,Alltoall,60,23.35,20,"(27,1)"
2,Alltoall,60,23.35,21,"(15,21)"
2,Alltoall,60,23.35,22,"(31,9)"
2,Alltoall,60,23.35,23,"(10,0)"
2,Alltoall,60,23.35,24,"(13,7)"
2,Alltoall,60,23.35,25,"(12,10)"
2,Alltoall,60,23.35,26,"(3,22)"
2,Alltoall,60,23.35,27,"(22,2)"
2,Alltoall,60,23.35,28,"(5,31)"
2,Alltoall,60,23.35,29,"(14,5)"
2,Alltoall,60,23.35,30,"(10,15)"
2,Alltoall,60,23.35,31,"(13,24)"
2,Alltoall,60,23.35,32,"(26,6)"
2,Alltoall,60,23.35,33,"(30,0)"
2,Alltoall,60,23.35,34,"(15,20)"
2,Alltoall,60,23.35,35,"(22,21)"
2,Alltoall,60,23.35,36,"(22,1)"
2,Alltoall,60,23.35,37,"(23,0)"
2,Alltoall,60,23.35,38,"(0,8)"
2,Alltoall,60,23.35,39,"(5,14)"
2,Alltoall,60,23.35,40,"(3,0)"
2,Alltoall,60,23.35,41,"(19,18)"
2,Alltoall,60,23.35,42,"(10,17)"
2,Alltoall,60,23.35,43,"(14,22)"
2,Alltoall,60,23.35,44,"(17,29)"
2,Alltoall,60,23.35,45,"(16,24)"
2,Alltoall,60,23.35,46,"(24,20)"
2,Alltoall,60,23.35,47,"(24,24)"
2,Alltoall,60,23.35,48,"(21,8)"
2,Alltoall,60,23.35,49,"(27,27)"
2,Alltoall,60,23.35,50,"(23,30)"
2,Alltoall,60,23.35,51,"(30,10)"
2,Alltoall,60,23.35,52,"(29,16)"
2,Alltoall,60,23.35,53,"(23,6)"
2,Alltoall,60,23.35,54,"(3,23)"
2,Alltoall,60,23.35,55,"(21,9)"
2,Alltoall,60,23.35,56,"(15,15)"
2,Alltoall,60,23.35,57,"(16,14)"
2,Alltoall,60,23.35,58,"(7,1)"
2,Alltoall,60,23.35,59,"(7,7)"
3,Barrier,64,14.0,0,"(23,19)"
3,Barrier,64,14.0,1,"(9,10)"
3,Barrier,64,14.0,2,"(24,17)"
3,Barrier,64,14.0,3,"(2,2)"
3,Barrier,64,14.0,4,"(16,28)"
3,Barrier,64,14.0,5,"(3,2)"
3,Barrier,64,14.0,6,"(2,15)"
3,Barrier,64,14.0,7,"(17,9)"
3,Barrier,64,14.0,8,"(30,27)"
3,Barrier,64,14.0,9,"(11,3)"
3,Barrier,64,14.0,10,"(17,27)"
3,Barrier,64,14.0,11,"(18,31)"
3,Barrier,64,14.0,12,"(11,9)"
3,Barrier,64,14.0,13,"(4,17)"
3,Barrier,64,14.0,14,"(10,31)"
3,Barrier,64,14.0,15,"(1,29)"
3,Barrier,64,14.0,16,"(22,10)"
3,Barrier,64,14.0,17,"(10,22)"
3,Barrier,64,14.0,18,"(2,29)"
3,Barrier,64,14.0,19,"(28,20)"
3,Barrier,64,14.0,20,"(4,3)"
3,Barrier,64,14.0,21,"(24,2)"
3,Barrier,64,14.0,22,"(31,1)"
3,Barrier,64,14.0,23,"(13,26)"
3,Barrier,64,14.0,24,"(26,27)"
3,Barrier,64,14.0,25,"(11,4)"
3,Barrier,64,14.0,26,"(23,23)"
