ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 106084333, 0, 48344, 18008896, 130, 360, 424
rtr_0x0, send_packet_count, port0, Accumulator, 106084333, 0, 130, 130, 130, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 106084333, 0, 105544468, 416475827954770, 128, 4268, 16774201
rtr_0x0, width_adj_count, port0, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port1, Accumulator, 106084333, 0, 43944, 16395968, 118, 360, 424
rtr_0x0, send_packet_count, port1, Accumulator, 106084333, 0, 118, 118, 118, 1, 1
rtr_0x0, output_port_stalls, port1, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port1, Accumulator, 106084333, 0, 105596455, 392644390816083, 119, 9601, 16002201
rtr_0x0, width_adj_count, port1, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 106084333, 0, 29096, 10880192, 78, 360, 424
rtr_0x0, send_packet_count, port2, Accumulator, 106084333, 0, 78, 78, 78, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 106084333, 0, 105756415, 592335589919691, 78, 46401, 19047001
rtr_0x0, width_adj_count, port2, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port3, Accumulator, 106084333, 0, 19632, 7438464, 52, 360, 424
rtr_0x0, send_packet_count, port3, Accumulator, 106084333, 0, 52, 52, 52, 1, 1
rtr_0x0, output_port_stalls, port3, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port3, Accumulator, 106084333, 0, 105859056, 682604842532640, 53, 28268, 14989601
rtr_0x0, width_adj_count, port3, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port4, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port4, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port4, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port4, Accumulator, 106084333, 0, 106084333, 11253885708054889, 1, 106084333, 106084333
rtr_0x0, width_adj_count, port4, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port5, Accumulator, 106084333, 0, 23544, 8661312, 64, 360, 368
rtr_0x0, send_packet_count, port5, Accumulator, 106084333, 0, 64, 64, 64, 1, 1
rtr_0x0, output_port_stalls, port5, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port5, Accumulator, 106084333, 0, 105828397, 444581864818153, 65, 7201, 15836001
rtr_0x0, width_adj_count, port5, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port6, Accumulator, 106084333, 0, 1592, 888512, 3, 360, 616
rtr_0x0, send_packet_count, port6, Accumulator, 106084333, 0, 3, 3, 3, 1, 1
rtr_0x0, output_port_stalls, port6, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port6, Accumulator, 106084333, 0, 106067004, 7236717224761740, 4, 513335, 82792601
rtr_0x0, width_adj_count, port6, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port7, Accumulator, 106084333, 0, 1592, 888512, 3, 360, 616
rtr_0x0, send_packet_count, port7, Accumulator, 106084333, 0, 3, 3, 3, 1, 1
rtr_0x0, output_port_stalls, port7, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port7, Accumulator, 106084333, 0, 106067004, 7234037040099340, 4, 762935, 82749401
rtr_0x0, width_adj_count, port7, Accumulator, 106084333, 0, 0, 0, 0, 0, 0
