ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u32, SumSQ.u32, Count.u64, Min.u32, Max.u32, Sum.u64, SumSQ.u64, Min.u64, Max.u64
polarfly_network.rtr0:topology, hopcount1, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0:topology, hopcount2, , Accumulator, 13420108, 0, 4, 4, 4, 1, 1, 0, 0, 0, 0
polarfly_network.rtr0:topology, hopcount3, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0:topology, hopcount4, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, send_bit_count, port0, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 1568, 618752, 360, 424
polarfly_network.rtr0, send_packet_count, port0, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 4, 4, 1, 1
polarfly_network.rtr0, output_port_stalls, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, idle_time, port0, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 13368108, 65763114949778, 24657, 6427056
polarfly_network.rtr0, width_adj_count, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, send_bit_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, send_packet_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, output_port_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, idle_time, port1, Accumulator, 13420108, 0, 0, 0, 1, 0, 0, 13420108, 180099298731664, 13420108, 13420108
polarfly_network.rtr0, width_adj_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, send_bit_count, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, send_packet_count, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, output_port_stalls, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, idle_time, port2, Accumulator, 13420108, 0, 0, 0, 1, 0, 0, 13420108, 180099298731664, 13420108, 13420108
polarfly_network.rtr0, width_adj_count, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, send_bit_count, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, send_packet_count, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, output_port_stalls, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, idle_time, port3, Accumulator, 13420108, 0, 0, 0, 1, 0, 0, 13420108, 180099298731664, 13420108, 13420108
polarfly_network.rtr0, width_adj_count, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, send_bit_count, port4, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 1568, 618752, 360, 424
polarfly_network.rtr0, send_packet_count, port4, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 4, 4, 1, 1
polarfly_network.rtr0, output_port_stalls, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, idle_time, port4, Accumulator, 13420108, 0, 0, 0, 5, 0, 0, 13368108, 64406982892334, 116634, 6335079
polarfly_network.rtr0, width_adj_count, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, xbar_stalls, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, xbar_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, xbar_stalls, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, xbar_stalls, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr0, xbar_stalls, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1:topology, hopcount1, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1:topology, hopcount2, , Accumulator, 13420108, 0, 6, 6, 6, 1, 1, 0, 0, 0, 0
polarfly_network.rtr1:topology, hopcount3, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1:topology, hopcount4, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr1, send_bit_count, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 2352, 928128, 360, 424
